Month,GDP_growth
Oct_20,0.4
Sep_20,1.1
Aug_20,2.2
Jul_20,6.3
Jun_20,9.1
May_20,2.7
Apr_20,-19.5
Mar_20,-7.3
Feb_20,-0.3
Jan_20,0.1
Dec_19,0.1
Nov_19,-0.3
Oct_19,0.2
Sep19,0
Aug_19,-0.1
Jul_19,0.3
Jun_19,0.1
May_19,0.3
Apr_19,-0.4
Mar_19,0.2
Feb_19,0.4
Jan_19,0.4
Dec_18,-0.3
Nov_18,0.1
Oct_18,0.3
Sep_18,0.1
Aug_18,0.1
Jul_18,0.3
Jun_18,0.3
May_18,0.2
Apr_18,0.2
Mar_18,0
Feb_18,-0.3
Jan_18,0.1
Dec_17,0.1
Nov_17,0.3
Oct_17,-0.1
Sep_17,0.3
Aug_17,0.2
Jul_17,0.1
Jun_17,0.1
May_17,0.3
Apr_17,0.1
Mar_17,0.2
Feb_17,-0.2
Jan_17,0.2
Dec_16,0.5
Nov_16,0.3
Oct_16,0
Sep_16,0.3
Aug_16,0.1
Jul_16,0.1
Jun_16,0.1
May_16,-0.3
Apr_16,0.6
Mar_16,-0.2
Feb_16,0.3
Jan_16,-0.1
Dec_15,0.2
Nov_15,0.1
Oct_15,0.3
Sep_15,0.3
Aug_15,-0.2
Jul_15,0.4
Jun_15,0.1
May_15,-0.1
Apr_15,0.6
Mar_15,0.2
Feb_15,0.2
Jan_15,0
Dec_14,0.1
Nov_14,0.2
Oct_14,0.3
Sep_14,0.2
Aug_14,0
Jul_14,0.4
Jun_14,0.2
May_14,0.3
Apr_14,-0.1
Mar_14,0.6
Feb_14,0.4
Jan_14,0.5
Dec_13,-0.2
Nov_13,0
Oct_13,0.6
Sep_13,0
Aug_13,0.3
Jul_13,0.4
Jun_13,0.1
May_13,0.5
Apr_13,0.2
Mar_13,-0.1
Feb_13,0.7
Jan_13,0.3
Dec_12,-0.2
Nov_12,0.1
Oct_12,0.5
Sep_12,-1
Aug_12,0.5
Jul_12,1.9
Jun_12,-1.6
May_12,1.2
Apr_12,-0.5
Mar_12,0.3
Feb_12,-0.3
Jan_12,0.2
Dec_11,0.2
Nov_11,1
Oct_11,-0.5
Sep_11,0.2
Aug_11,-0.4
Jul_11,0.4
Jun_11,-0.1
May_11,1
Apr_11,-0.9
Mar_11,0.5
Feb_11,0.4
Jan_11,0.6
Dec_10,-0.9
Nov_10,-0.1
Oct_10,0.2
Sep_10,0.2
Aug_10,0.2
Jul_10,0.4
Jun_10,0.3
May_10,0.3
Apr_10,0
Mar_10,0.8
Feb_10,1.3
Jan_10,-0.8
