player,Payroll_in_thousand_U.S._dollars
Tim__Howard,2475.0
Kei_Kamara,750.0
Kellyn__Acosta,665.0
Tommy_Smith,640.0
Danny__Wilson,540.0
Jack__Price,437.5
Diego_Rubio_Kostner,353.75
Sam__Nicholson,342.07
Nicolas__Mezquida,320.0
Johan__Blomberg,250.96
Axel__Sjoberg,180.0
Keegan__Rosenberry,164.94
Lalas__Abubakar,144.94
Clint__Irwin,138.71
Jonathan__Lewis,137.5
Dillon__Serna,120.0
Matt__Hundley,99.0
Andre__Shinyashiki,95.0
Kortne__Ford,92.5
Cole_Bassett,84.0
Sam__Vines,81.25
Sebastian__Anderson,80.92
Deklan__Wynne,74.25
Andre__Rawls,72.36
Kofi__Opare,70.25
Sam__Raben,70.25
Abdul__Rwatubyaye,62.63
Niki__Jackson,57.23
