Month,Number_of_new_cases
Jan_3,54990
Jan_2,57725
Jan_1,53285
Dec_31,55892
Dec_30,50023
Dec_29,53135
Dec_28,41385
Dec_27,30501
Dec_26,35691
Dec_25,32725
Dec_24,39877
Dec_23,39237
Dec_22,36804
Dec_21,33364
Dec_20,35928
Dec_19,27052
Dec_18,28507
Dec_17,35383
Dec_16,25161
Dec_15,18450
Dec_14,20263
Dec_13,18447
Dec_12,21502
Dec_11,21672
Dec_10,20964
Dec_9,16578
Dec_8,12282
Dec_7,14718
Dec_6,17272
Dec_5,15539
Dec_4,16298
Dec_3,14879
Dec_2,16170
Dec_1,13430
Nov_30,12330
Nov_29,12155
Nov_28,15871
Nov_27,16022
Nov_26,17555
Nov_25,18213
Nov_24,11299
Nov_23,15450
Nov_22,18662
Nov_21,19875
Nov_20,20252
Nov_19,22915
Nov_18,19609
Nov_17,20051
Nov_16,21363
Nov_15,24962
Nov_14,26860
Nov_13,27301
Nov_12,33470
Nov_11,22950
Nov_10,20412
Nov_9,21350
Nov_8,20572
Nov_7,24957
Nov_6,23287
Nov_5,24141
Nov_4,25177
Nov_3,20018
Nov_2,18950
Nov_1,23254
Oct_31,21915
Oct_30,24405
Oct_29,23065
Oct_28,24701
Oct_27,22885
Oct_26,20890
Oct_25,19790
Oct_24,23012
Oct_23,20530
Oct_22,21242
Oct_21,26688
Oct_20,21331
Oct_19,18804
Oct_18,16982
Oct_17,16171
Oct_16,15650
Oct_15,18980
Oct_14,19724
Oct_13,17234
Oct_12,13972
Oct_11,12872
Oct_10,15166
Oct_9,13864
Oct_8,17540
Oct_7,14162
Oct_6,14542
Oct_5,12594
Oct_4,22961
Oct_3,12872
Oct_2,6968
Oct_1,6914
Sep_30,7108
Sep_29,7143
Sep_28,4044
Sep_27,5693
Sep_26,6042
Sep_25,6874
Sep_24,6634
Sep_23,6178
Sep_22,4926
Sep_21,4368
Sep_20,3899
Sep_19,4422
Sep_18,4322
Sep_17,3395
Sep_16,3991
Sep_15,3105
Sep_14,2621
Sep_13,3330
Sep_12,3497
Sep_11,3539
Sep_10,2919
Sep_9,2659
Sep_8,2460
Sep_7,2948
Sep_6,2988
Sep_5,1813
Sep_4,1940
Sep_3,1735
Sep_2,1508
Sep_1,1295
Aug_31,1406
Aug_30,1715
Aug_29,1108
Aug_28,1276
Aug_27,1522
Aug_26,1048
Aug_25,1184
Aug_24,853
Aug_23,1160
Aug_22,1288
Aug_21,1033
Aug_20,1182
Aug_19,812
Aug_18,1089
Aug_17,713
Aug_16,1040
Aug_15,1077
Aug_14,1441
Aug_13,1129
Aug_12,1009
Aug_11,1148
Aug_10,816
Aug_9,1062
Aug_8,758
Aug_7,871
Aug_6,950
Aug_5,892
Aug_4,670
Aug_3,938
Aug_2,744
Aug_1,771
Jul_31,880
Jul_30,846
Jul_29,763
Jul_28,581
Jul_27,685
Jul_26,747
Jul_25,767
Jul_24,768
Jul_23,769
Jul_22,560
Jul_21,445
Jul_20,580
Jul_19,726
Jul_18,827
Jul_17,687
Jul_16,642
Jul_15,538
Jul_14,398
Jul_13,530
Jul_12,650
Jul_11,820
Jul_10,512
Jul_9,642
Jul_8,630
Jul_7,581
Jul_6,343
Jul_5,516
Jul_4,624
Jul_3,544
Jul_2,576
Jul_1,829
Jun_30,689
Jun_29,815
Jun_28,901
Jun_27,890
Jun_26,1006
Jun_25,1118
Jun_24,653
Jun_23,874
Jun_22,958
Jun_21,1221
Jun_20,1295
Jun_19,1346
Jun_18,1218
Jun_17,1115
Jun_16,1279
Jun_15,1056
Jun_14,1514
Jun_13,1425
Jun_12,1541
Jun_11,1266
Jun_10,1003
Jun_9,1387
Jun_8,1205
Jun_7,1326
Jun_6,1557
Jun_5,1650
Jun_4,1805
Jun_3,1871
Jun_2,1653
Jun_1,1570
May_31,1936
May_30,2445
May_29,2095
May_28,1887
May_27,2013
May_26,2004
May_25,1625
May_24,2409
May_23,2959
May_22,3287
May_21,2615
May_20,2472
May_19,2412
May_18,2684
May_17,3562
May_16,3451
May_15,3560
May_14,3446
May_13,3242
May_12,3403
May_11,3877
May_10,3923
May_9,3896
May_8,4649
May_7,5614
May_6,6111
May_5,4406
May_4,3985
May_3,4339
May_2,4806
May_1,6201
Apr_30,6032
Apr_29,4076
Apr_28,3996
Apr_27,4310
Apr_26,4463
Apr_25,4913
Apr_24,5386
Apr_23,4583
Apr_22,4451
Apr_21,4301
Apr_20,4676
Apr_19,5850
Apr_18,5526
Apr_17,5599
Apr_16,4618
Apr_15,4605
Apr_14,5252
Apr_13,4342
Apr_12,5288
Apr_11,5234
Apr_10,5706
Apr_9,4675
Apr_8,5865
Apr_7,3888
Apr_6,4143
Apr_5,6199
Apr_4,4000
Apr_3,4672
Apr_2,4522
Apr_1,4567
Mar_31,3250
Mar_30,2665
Mar_29,2502
Mar_28,2556
Mar_27,2890
Mar_26,2129
Mar_25,1452
Mar_24,1427
Mar_23,967
Mar_22,665
Mar_21,1035
Mar_20,714
Mar_19,643
Mar_18,676
Mar_17,407
Mar_16,152
Mar_15,330
Mar_14,264
Mar_13,207
Mar_12,134
Mar_11,83
Mar_10,48
Mar_9,67
Mar_8,43
Mar_7,48
Mar_6,30
Mar_5,34
Mar_4,11
Mar_3,4
Mar_2,13
Mar_1,5
Feb_29,2
Feb_28,3
Feb_27,0
Feb_26,0
Feb_25,0
Feb_24,4
Feb_23,0
Feb_22,0
Feb_21,0
Feb_20,0
Feb_19,0
Feb_18,0
Feb_17,0
Feb_16,0
Feb_15,0
Feb_14,0
Feb_13,1
Feb_12,0
Feb_11,4
Feb_10,0
Feb_9,1
Feb_8,0
Feb_7,1
Feb_6,0
Feb_5,0
Feb_4,0
Feb_3,0
Feb_1,0
Jan_31,2
