Municipality,"Police_officers_per_100,000_population"
Victoria_B.C.,214
Montréal_Que.,212
Halifax_N.S.,209
Windsor_Ont.,205
Thunder_Bay_Ont.,205
Vancouver_B.C.,196
Edmonton_Alta.,188
Winnipeg_Man.,186
Brantford_Ont.,178
Saskatoon_Sask.,173
Regina_Sask.,170
Red_Deer_Alta._(Royal_Canadian_Mounted_Police),166
Barrie_Ont.,163
Toronto_Ont.,162
Calgary_Alta.,162
St._John's_N.L.,161
Chatham-Kent_Ont.,156
Greater_Sudbury_Ont.,155
Kingston_Ont.,154
Niagara_Region_(St._Catharines)_Ont.,152
Delta_B.C.,145
Longueuil_Que.,145
Peel_Region_(Mississauga/Brampton)_Ont.,144
Guelph_Ont.,143
Kelowna_B.C.,142
London_Ont.,142
Surrey_B.C.,140
Gatineau_Que.,139
Abbotsford_B.C.,139
Laval_Que.,135
York_Region_(Markham/Vaughan)_Ont.,134
Langley_Township_B.C.,133
Durham_Region_(Oshawa/Whitby/Ajax)_Ont.,132
Waterloo_Region_(Kitchener)_Ont.,131
Saguenay_Que.,126
Saanich_B.C.,125
Sherbrooke_Que.,125
Québec_Que.,124
Halton_Region_(Oakville/Burlington)_Ont.,123
Terrebonne_Que.,122
Ottawa_Ont.,121
Burnaby_B.C.,118
Trois-Rivières_Que.,118
Richmond_B.C.,117
Codiac_Region_(Moncton)_N.B.,116
Coquitlam_B.C.,114
Lévis_Que.,106
Roussillon_Region_Que.,104
Richelieu_Saint-Laurent_Que.,102
