Month_of_survey_conducted,Favorable,Unfavorable,Don't_know/Refused
April_2010,46,40,14
May_2010,41,44,14
June_2010,48,41,10
July_2010,50,35,14
August_2010,43,45,12
September_2010,49,40,11
October_2010,42,44,15
November_2010,42,40,18
December_2010,42,41,18
January_2011,41,50,9
February_2011,43,48,8
March_2011,42,46,13
April_2011,41,41,18
May_2011,42,44,14
June_2011,42,46,12
July_2011,42,43,15
August_2011,39,44,17
September_2011,41,43,16
October_2011,34,51,15
November_2011,37,44,19
December_2011,41,43,17
January_2012,37,44,19
February_2012,42,43,15
March_2012,41,40,19
April_2012,42,43,15
May_2012,37,44,19
June_2012,41,41,18
July_2012,38,44,17
August_2012,38,43,19
September_2012,45,40,14
October_2012,38,43,19
November_2012,43,39,19
October_2013,38,44,18
November_2013,33,49,18
July_2014,37,53,10
December_2014,41,46,14
January_2015,40,46,15
March_2015,41,43,16
May_2015,39,42,19
August_2015,44,41,14
December_2015,40,46,14
April_2016,38,49,13
June_2016,42,44,14
August_2016,40,42,17
October_2016,45,45,10
December_2016,43,46,11
March_2017,49,44,7
May_2017,49,42,9
July_2017,50,44,6
October_2017,51,40,9
January_2018,50,42,8
March_2018,50,43,7
June_2018,50,41,9
August_2018,50,40,10
October_2018,49,42,9
January_2019,51,40,9
March_2019,50,39,11
June_2019,46,40,12
September_2019,53,41,6
November_2019,52,41,7
January_2020,53,37,10
February_2020,55,37,9
April_2020,50,39,12
May_2020,51,41,8
July_2020,51,36,13
September_2020,49,42,9
