Football_player,Payroll_in_thousand_U.S._dollars
Zlatan__Ibrahimovic,7200.0
Jonathan__dos_Santos,2000.0
Romain__Alessandrini,1940.0
Cristian__Pavon,1200.0
Jorgen__Skjelvik,1066.67
Diego__Polenta,777.28
Giancarlo_Gonzalez,719.58
Favio__Alvarez,586.25
Joe__Corona,578.5
Perry__Kitchen,474.17
Uriel__Antuna,420.0
David__Bingham,375.0
Sebastian__Lletget,312.67
Joao__Pedro,261.0
Rolf__Feltscher,242.65
Chris__Pontius,190.0
Juninho,163.13
Daniel_Steres,157.33
Tomas__Hilliard-Arce,123.12
Dave__Romney,118.95
Hugo__Arellano,90.07
Julian__Araujo,86.25
Ethan__Zubak,78.13
Bradford__Jamieson,76.4
Efrain__Alvarez,75.61
Servando__Carrasco,70.25
Emil__Cuello,70.25
Matt__Lampson,70.25
Justin__Vom_Steeg,57.23
Diedie__Traore,56.25
