Response,Percentage_of_college_graduates
Jan_'16,13.7
Feb_'16,13.8
Mar_'16,13.9
Apr_'16,13.7
May_'16,13.6
Jun_'16,13.3
Jul_'16,13.1
Aug_'16,13.2
Sep_'16,13.2
Oct_'16,13.4
Nov_'16,13.4
Dec_'16,13.2
Jan_'17,13.1
Feb_'17,13.1
Mar_'17,13.1
Apr_'17,13.1
May_'17,12.9
Jun_'17,12.9
Jul_'17,12.8
Aug_'17,12.8
Sep_'17,12.6
Oct_'17,12.6
Nov_'17,12.7
Dec_'17,12.9
Jan_'18,13
Feb_'18,13.1
Mar_'18,13.3
Apr_'18,13.5
May_'18,13.8
Jun_'18,13.8
Jul_'18,13.7
Aug_'18,13.5
Sep_'18,13.2
Oct_'18,13
Nov_'18,12.7
Dec_'18,12.7
Jan_'19,12.6
Feb_'19,12.4
Mar_'19,12.2
Apr_'19,11.9
May_'19,11.6
Jun_'19,11.5
Jul_'19,11.6
Aug_'19,11.6
Sep_'19,11.8
Oct_'19,12.3
Nov_'19,12.6
Dec_'19,12.8
Jan_'20,12.9
Feb_'20,12.9
Mar_'20,12.8
Apr_'20,12.7
May_'20,12.6
Jun_'20,12.3
Jul_'20,12.2
Aug_'20,12.1
Sep_'20,11.9
