Project,Average_cost_in_U.S._dollars
Master_suite_(upscale),224989
Two-story_addition,155365
Major_kitchen_remodel_(upscale),109935
Master_suite_(mid-range),103844
Garage_addition_(upscale),82311
Family_room,80765
Sunroom,73546
Bathroom_addition_(upscale),72538
Basement_remodel,62834
Major_kitchen_remodel_(mid-range),54909
Bathroom_remodel_(upscale),51374
Garage_addition_(mid-range),49911
Attic_bedroom,49438
Bathroom_addition_(mid-range),38186
Roofing_replacement_(upscale),34495
Home_office_remodel,28000
Roofing_replacement_(mid-range),18913
Minor_kitchen_remodel,18856
Bathroom_remodel_(mid-range),16128
Back-up_power_generator,11742
