Month,Number_of_confirmed_cases
Jan_1,450075
Dec_31,445715
Dec_30,440330
Dec_29,436192
Dec_28,433694
Dec_27,431196
Dec_26,428697
Dec_25,426199
Dec_24,421382
Dec_23,416394
Dec_22,412162
Dec_21,408862
Dec_20,405563
Dec_19,402264
Dec_18,397820
Dec_17,392798
Dec_16,387195
Dec_15,382953
Dec_14,379412
Dec_13,375870
Dec_12,372329
Dec_11,367218
Dec_10,362180
Dec_9,357121
Dec_8,352875
Dec_7,349617
Dec_6,346359
Dec_5,343101
Dec_4,338731
Dec_3,334310
Dec_2,329530
Dec_1,325770
Nov_30,322852
Nov_29,319934
Nov_28,317017
Nov_27,312722
Nov_26,308254
Nov_25,303392
Nov_24,299171
Nov_23,295942
Nov_22,292712
Nov_21,289483
Nov_20,284560
Nov_19,279572
Nov_18,273487
Nov_17,268965
Nov_16,264705
Nov_15,260445
Nov_14,256186
Nov_13,249471
Nov_12,242578
Nov_11,234340
Nov_10,228405
Nov_9,222657
Nov_8,216908
Nov_7,211160
Nov_6,201801
Nov_5,191703
Nov_4,181660
Nov_3,175570
Nov_2,153728
Nov_1,153728
Oct_31,153728
Oct_30,144558
Oct_29,135197
Oct_28,127042
Oct_27,120680
Oct_26,103323
Oct_25,103323
Oct_24,103323
Oct_23,96731
Oct_22,91763
Oct_21,86167
Oct_20,83159
Oct_19,74227
Oct_18,74227
Oct_17,74227
Oct_16,71140
Oct_15,68534
Oct_14,65726
Oct_13,64287
Oct_12,60230
Oct_11,60230
Oct_10,60230
Oct_9,58745
Oct_8,57576
Oct_7,56502
Oct_6,55803
Oct_5,54263
Oct_4,54263
Oct_3,54263
Oct_2,53712
Oct_1,53162
Sep_30,52751
Sep_29,52528
Sep_28,51747
Sep_27,51747
Sep_26,51747
Sep_25,51492
Sep_24,50984
Sep_23,50548
Sep_22,50264
Sep_21,49171
Sep_20,49171
Sep_19,49171
Sep_18,48684
Sep_17,48154
Sep_16,47640
Sep_15,47325
Sep_14,47068
Sep_13,46595
Sep_12,46130
Sep_11,45602
Sep_10,45197
Sep_9,44729
Sep_8,44484
Sep_7,44293
Sep_6,43849
Sep_5,43424
Sep_4,43127
Sep_3,42655
Sep_2,42285
Sep_1,42069
Aug_31,41906
Aug_30,41615
Aug_29,41240
Aug_28,40900
Aug_27,40540
Aug_26,40161
Aug_25,39959
Aug_24,39802
Aug_23,39526
Aug_22,39232
Aug_21,38926
Aug_20,38662
Aug_19,38352
Aug_18,38156
Aug_17,38031
Aug_16,37831
Aug_15,37580
Aug_14,37312
Aug_13,37079
Aug_12,36806
Aug_11,36619
Aug_10,36514
Aug_9,36362
Aug_8,36180
Aug_7,36019
Aug_6,35838
Aug_5,35657
Aug_4,35527
Aug_3,35461
Aug_2,35412
Aug_1,34933
July_31,34933
July_30,34714
July_29,34522
July_28,34390
July_27,34325
July_26,34215
July_25,34067
July_24,33913
July_23,33796
July_22,33655
July_21,33547
July_20,33504
July_19,33406
July_18,33296
July_17,33205
July_16,33063
July_15,32931
July_14,32861
July_13,32713
July_12,32713
July_11,32605
July_10,32501
July_9,32413
July_8,32284
July_7,32230
July_6,32184
July_5,32114
July_4,32017
July_3,31884
July_2,31851
July_1,31631
June_30,31569
June_29,31534
June_28,31472
June_27,31403
June_26,31345
June_25,31293
June_24,31249
June_23,31217
June_22,31217
June_21,31217
June_20,31217
June_19,31134
June_18,31100
June_17,31063
June_16,31048
June_15,31034
June_14,31011
June_13,30980
June_12,30961
June_11,30928
June_10,30905
June_9,30889
June_8,30882
June_7,30873
June_6,30853
June_5,30830
June_4,30810
Juen_3,30791
June_2,30788
June_1,30779
May_31,30762
May_30,30745
May_29,30713
May_28,30693
May_27,30678
May_26,30663
May_25,30653
May_24,30642
May_23,30624
May_22,30611
May_21,30575
May_20,30535
May_19,30514
May_18,30504
May_17,30489
May_16,30431
May_15,30380
May_14,30330
May_13,30297
May_12,30261
May_11,30222
May_10,30168
May_9,30168
May_8,30043
May_7,29977
May_6,29926
May_5,29898
May_4,29822
May_3,29734
May_2,29622
May_1,29503
Apr_30,29324
Apr_29,29181
Apr_28,29081
Apr_27,28978
Apr_26,28978
Apr_25,28595
Apr_24,28414
Apr_23,28186
Apr_22,27981
Apr_21,27862
Apr_20,27658
Apr_19,27322
Apr_18,26997
Apr_17,26651
Apr_16,26336
Apr_15,25753
Apr_14,25449
Apr_13,25220
Apr_12,24820
Apr_11,24228
Apr_10,23495
Apr_9,22710
Apr_8,22164
Apr_7,21574
Apr_6,21065
Apr_5,20489
Apr_4,19706
Apr_3,18844
Apr_2,17070
Apr_1,16108
Mar_31,15412
Mar_30,14274
Mar_29,13152
Mar_28,12104
Mar_27,10714
Mar_26,9714
Mar_25,8789
Mar_24,8015
Mar_23,6971
Mar_22,6077
Mar_21,4840
Mar_20,3863
Mar_19,3010
Mar_18,3000
Mar_17,2600
Mar_16,2200
Mar_15,1359
Mar_14,1125
Mar_13,858
Mar_12,815
Mar_11,491
Mar_10,332
Mar_9,332
Mar_8,264
Mar_7,227
Mar_6,86
Mar_5,56
Mar_4,37
Mar_3,30
Mar_2,24
Mar_1,18
Feb_29,10
Feb_28,6
Feb_27,4
Feb_26,1
