Cost_component,Phase_1,Phase_2,Phase_3,Phase_4
Data_Management_Costs,50331,59934,39047,49702
Cost_Per_IRB_Approvals,11962,60188,114118,137813
Cost_of_IRB_Amendments,1094,1698,1919,1636
SDV_Costs,326437,406038,400173,353602
Patient_Recruitment_Costs,37050,161140,308672,298923
Patient_Retention_Costs,6145,15439,24727,30568
RN/CRA_Costs,178237,441053,939540,820775
Physician_Costs,109681,381968,805508,669464
Clinical_Procedure_Total,475667,1476368,2252208,1733576
Central_Lab_Costs,252163,804821,849180,419758
Site_Recruitment_Costs,51904,233729,395182,168343
Site_Retention_Costs,193615,1127005,1305361,1835341
Administrative_Staff_Costs,237869,1347390,2321628,3323081
Site_Monitoring_Costs,198896,1083186,1624874,1549761
