"Day,_game_(conference)_(network)",Rating,Viewers_(in_thousands)
August_25_2016_Hawaii_vs._California_(MWC_Pac-12)_(ESPN),0.5,782.0
September_1_2016_South_Carolina_vs._Vanderbilt_(SEC)_(ESPN),1.2,1942.0
September_1_2016_Indiana_vs._FIU_(Big_Ten_C-USA)_(ESPNU),0,211.0
September_2_2016_Kansas_State_vs._Stanford_(Big_12_Pac-12)_(FS1),0.8,1358.0
September_2_2016_Colorado_State_vs._Colorado_(MWC_Pac-12)_(ESPN),0.7,1073.0
September_2_2016_Toledo_vs._Arkansas_State_(MAC_Sun_Belt)_(ESPNU),0,143.0
September_3_2016_USC_vs._Alabama_(Pac-12_SEC)_(ABC),4.6,7944.0
September_3_2016_LSU_vs._Wisconsin_(SEC_Big_Ten)_(ABC),4.6,7832.0
September_3_2016_Oklahoma_vs._Houston_(Big_12_American)_(ABC),3.5,5713.0
September_3_2016_Clemson_vs._Auburn_(ACC_SEC)_(ESPN),2.6,4742.0
September_3_2016_Georgia_vs._UNC_(SEC_ACC)_(ESPN),1.9,3529.0
September_3_2016_UCLA_vs._Texas_A&M_(Pac-12_SEC)_(CBS),1.9,3107.0
September_3_2016_College_Gameday_(ESPN),0,2147.0
September_3_2016_Hawaii_vs._Michigan_(WAC_Big_Ten)_(ESPN),1.3,2135.0
September_3_2016_Missouri_vs._West_Virginia_(SEC_Big_12)_(FS1),0.4,728.0
September_3_2016_BYU_vs._Arizona_(Ind._Pac-12)_(FS1),0.4,728.0
September_3_2016_Ga._Tech_vs._Boston_College_(ACC)_(ESPN2),0,682.0
September_3_2016_Miami_(OH)_vs._Iowa_(MAC_Big_Ten)_(ESPNU),0,418.0
September_3_2016_Southern_Miss_vs._Kentucky_(C-USA_SEC)_(ESPNU),0,409.0
September_3_2016_W._Michigan_vs._Northwestern_(MAC_Big_Ten)_(ESPNU),0,160.0
September_3_2016_New_Mexico_St._vs._UTEP_(Sun_Belt_C-USA)_(beIN),0,13.0
September_4_2016_Notre_Dame_vs._Texas_(Ind._Big_12)_(ABC),6.4,10945.0
September_3_2016_Mississippi_vs._FSU_(SEC_ACC)_(ESPN),4.8,8354.0
September_9_2016_Louisville_vs._Syracuse_(ACC)_(ESPN2),0,1730.0
September_10_2016_Va._Tech_vs._Tennessee_(ACC_SEC)_(ABC),3.3,5790.0
