Month,Number_of_tests
Nov_24_2020,904
Nov_23_2020,1211
Nov_22_2020,529
Nov_21_2020,778
Nov_20_2020,994
Nov_19_2020,966
Nov_18_2020,975
Nov_17_2020,1187
Nov_16_2020,1597
Nov_15_2020,657
Nov_14_2020,879
Nov_13_2020,1352
Nov_12_2020,1228
Nov_11_2020,1145
Nov_10_2020,1335
Nov_9_2020,1594
Nov_8_2020,870
Nov_7_2020,1093
Nov_6_2020,1749
Nov_5_2020,1781
Nov_4_2020,2088
Nov_3_2020,2197
Nov_2_2020,2089
Nov_1_2020,1284
Oct_31_2020,1457
Oct_30_2020,2149
Oct_29_2020,2500
Oct_28_2020,2108
Oct_27_2020,3153
Oct_26_2020,2699
Oct_25_2020,1187
Oct_24_2020,1413
Oct_23_2020,2135
Oct_22_2020,1858
Oct_21_2020,2218
Oct_20_2020,1753
Oct_19_2020,2552
Oct_18_2020,1350
Oct_17_2020,1856
Oct_16_2020,2328
Oct_15_2020,2715
Oct_14_2020,2789
Oct_13_2020,2174
Oct_12_2020,3690
Oct_11_2020,1503
Oct_10_2020,2152
Oct_9_2020,4064
Oct_8_2020,4133
Oct_7_2020,3362
Oct_6_2020,2686
Oct_5_2020,3227
Oct_4_2020,2000
Oct_3_2020,1695
Oct_2_2020,1811
Oct_1_2020,2060
Sep_30_2020,2045
Sep_29_2020,2229
Sep_28_2020,2328
Sep_27_2020,1394
Sep_26_2020,1681
Sep_25_2020,2930
Sep_24_2020,2724
Sep_23_2020,2933
Sep_22_2020,5165
Sep_21_2020,4307
Sep_20_2020,2271
Sep_19_2020,2462
Sep_18_2020,3629
Sep_17_2020,4009
Sep_16_2020,2017
Sep_15_2020,1145
Sep_14_2020,1535
Sep_13_2020,1028
Sep_12_2020,1089
Sep_11_2020,1314
Sep_10_2020,1496
Sep_9_2020,1592
Sep_8_2020,1390
Sep_7_2020,1547
Sep_6_2020,1373
Sep_5_2020,1498
Sep_4_2020,1819
Sep_3_2020,1463
Sep_2_2020,1981
Sep_1_2020,1635
Aug_31_2020,1980
Aug_30_2020,1694
Aug_29_2020,1439
Aug_28_2020,1946
Aug_27_2020,1839
