Response,Share_of_Italian_citizens_belonging_to_religious_minorities
Muslims,20.9
Jehovah's_Witnesses_(and_analogous),20.5
Protestants,19.2
Orthodox_Christians,16
Buddhists,10.3
Hindus_and_neo-Hindus,2.4
Jews,1.8
Human_potential_groups,1.5
Mormons_(and_analogous),1.4
"""Fringe""_and_dissident_Roman_Catholics",1.2
Sikhs_Radha_Swami_and_derivative_groups,1
Organized_New_Age_and_Next_Age_groups,1
"Esoteric_and_""ancient_wisdom""_groups",0.8
Other_Christian_creeds,0.4
Other_oriental_groups,0.3
New_Japanese_Religions,0.2
Baha'is_and_other_religions_of_Islamic_inspiration,0.2
Osho_and_derivative_groups,0.2
Other,0.7
