Response,Percentage_of_respondents
Wellness_programs_general,58
Onsite_seasonal_flu_vaccinations,60
Annual_health_risk_assessments,43
Rewards_or_bonuses_for_completing_certain_health_and_wellness_programs,38
Smoking_cessation_program,39
Health_fairs,33
Preventive_programs_specifically_targeting_employees_with_chronic_health_conditions,24
Weight_loss_programs,29
Onsite_health_screening_programs_(ex:_glucose_cholesterol_etc.),31
Company-organized_fitness_competitions/challenges,38
Onsite_stress_management_program,13
