Indoor_exhibition_venues,Net_exhibition_space_in_thousand_square_meters
Messe_Hannover(Germany),466.1
Messe_Frankfurt(Germany),345.7
Fiera_Milano(Italy),345.0
Pazhou_Complex(China),338.0
Koelnmesse(Germany),284.0
Messe_Duesseldorf(Germany),262.7
Paris_Nord_Villepinte(France),241.58
McCormick_Place(USA),241.52
Feria_Valencia(Spain),230.6
Porte_de_Versailles(France),228.21
Crocus_International(Russia),226.4
Fira_de_Barcelona:_Gran_Via_venue(Spain),205.0
BolognaFiere(Italy),200.0
Feria_de_Madrid_/_IFEMA(Spain),200.0
Shanghai_New_International_Expo_Centre(China),200.0
