Month,Number_of_patients
Dec_15_2020,439
Dec_14_2020,429
Dec_13_2020,390
Dec_12_2020,371
Dec_11_2020,361
Dec_10_2020,342
Dec_9_2020,349
Dec_8_2020,354
Dec_7_2020,328
Dec_6_2020,302
Dec_5_2020,279
Dec_4_2020,293
Dec_3_2020,267
Dec_2_2020,266
Dec_1_2020,254
Nov_30_2020,259
Nov_29_2020,256
Nov_28_2020,249
Nov_27_2020,254
Nov_26_2020,244
Nov_25_2020,251
Nov_24_2020,255
Nov_23_2020,261
Nov_22_2020,254
Nov_21_2020,237
Nov_20_2020,244
Nov_19_2020,255
Nov_18_2020,248
Nov_17_2020,259
Nov_16_2020,267
Nov_15_2020,259
Nov_14_2020,243
Nov_13_2020,236
Nov_12_2020,239
Nov_11_2020,216
Nov_10_2020,211
Nov_9_2020,196
Nov_8_2020,188
Nov_7_2020,187
Nov_6_2020,191
Nov_5_2020,182
Nov_4_2020,184
Nov_3_2020,169
Nov_2_2020,174
Nov_1_2020,156
Oct_31_2020,147
Oct_30_2020,144
Oct_29_2020,139
Oct_28_2020,136
Oct_27_2020,137
Oct_26_2020,145
Oct_25_2020,127
Oct_24_2020,120
Oct_23_2020,125
Oct_22_2020,124
Oct_21_2020,122
Oct_20_2020,128
Oct_19_2020,129
Oct_18_2020,119
Oct_17_2020,110
Oct_16_2020,110
Oct_15_2020,104
Oct_14_2020,104
Oct_13_2020,103
Oct_12_2020,107
Oct_11_2020,102
Oct_10_2020,103
Oct_9_2020,106
Oct_8_2020,115
Oct_7_2020,116
Oct_6_2020,124
Oct_5_2020,120
Oct_4_2020,105
Oct_3_2020,105
Oct_2_2020,106
Oct_1_2020,109
Sep_30_2020,102
Sep_29_2020,107
Sep_28_2020,110
Sep_27_2020,95
Sep_26_2020,97
Sep_25_2020,101
Sep_24_2020,95
Sep_23_2020,78
Sep_22_2020,79
Sep_21_2020,75
Sep_20_2020,67
Sep_19_2020,62
Sep_18_2020,58
Sep_17_2020,60
Sep_16_2020,51
Sep_15_2020,56
Sep_14_2020,50
Sep_13_2020,47
Sep_12_2020,43
Sep_11_2020,44
Sep_10_2020,35
Sep_9_2020,30
Sep_8_2020,28
Sep_7_2020,29
Sep_6_2020,27
Sep_5_2020,16
Sep_4_2020,18
Sep_3_2020,17
Sep_2_2020,15
Sep_1_2020,20
Aug_31_2020,23
Aug_30_2020,21
Aug_29_2020,21
Aug_28_2020,21
Aug_27_2020,19
Aug_26_2020,19
Aug_25_2020,21
Aug_24_2020,20
Aug_23_2020,19
Aug_22_2020,22
Aug_21_2020,22
Aug_20_2020,20
Aug_19_2020,16
Aug_18_2020,18
Aug_17_2020,16
Aug_16_2020,12
Aug_15_2020,14
Aug_14_2020,14
Aug_13_2020,13
Aug_12_2020,16
Aug_11_2020,20
Aug_10_2020,23
Aug_9_2020,20
Aug_8_2020,21
Aug_7_2020,25
Aug_6_2020,24
Aug_5_2020,23
Aug_4_2020,24
Aug_3_2020,24
Aug_2_2020,20
Aug_1_2020,16
Jul_31_2020,18
Jul_30_2020,18
Jul_29_2020,21
Jul_28_2020,22
Jul_27_2020,23
Jul_26_2020,23
Jul_25_2020,17
Jul_24_2020,16
Jul_23_2020,19
Jul_22_2020,16
Jul_21_2020,18
Jul_20_2020,18
Jul_19_2020,19
Jul_18_2020,16
Jul_17_2020,20
Jul_16_2020,17
Jul_15_2020,19
Jul_14_2020,17
Jul_13_2020,18
Jul_12_2020,18
Jul_11_2020,15
Jul_10_2020,17
Jul_09_2020,18
Jul_08_2020,18
Jul_07_2020,17
Jul_06_2020,23
Jul_05_2020,24
Jul_04_2020,26
Jul_03_2020,27
Jul_02_2020,29
Jul_01_2020,29
Jun_30_2020,32
Jun_29_2020,35
Jun_28_2020,30
Jun_27_2020,29
Jun_26_2020,31
Jun_25_2020,36
Jun_24_2020,33
Jun_23_2020,32
Jun_22_2020,37
Jun_21_2020,38
Jun_20_2020,39
Jun_19_2020,37
Jun_18_2020,38
Jun_17_2020,39
Jun_16_2020,60
Jun_15_2020,58
Jun_14_2020,55
Jun_13_2020,54
Jun_12_2020,63
Jun_11_2020,63
Jun_10_2020,71
Jun_09_2020,73
Jun_08_2020,79
Jun_07_2020,75
Jun_06_2020,81
