Month,Not_seasonally_adjusted,Seasonally_adjusted
Jul_20,4.2,4.5
Jun_20,4.2,4.3
May_20,3.6,3.6
Apr_20,3.6,3.4
Mar_20,3.2,2.9
Feb_20,3.2,2.9
Jan_20,3.3,3
Dec_19,3,3.2
Nov_19,3.5,3.5
Oct_19,3.5,3.5
Sep_19,3.5,3.5
Aug_19,3.1,3.5
Jul_19,3.1,3.4
Jun_19,3.2,3.4
May_19,3.3,3.3
Apr_19,3.4,3.3
Mar_19,3.6,3.3
Feb_19,3.7,3.4
Jan_19,3.9,3.6
Dec_18,3.3,3.6
Nov_18,3.5,3.5
Oct_18,3.7,3.7
Sep_18,3.8,3.7
Aug_18,3.5,3.9
Jul_18,3.5,3.8
Jun_18,3.7,3.9
May_18,3.9,3.9
Apr_18,4.1,3.9
Mar_18,4.2,3.9
Feb_18,4.4,4.1
Jan_18,4.5,4.2
Dec_17,4.1,4.4
Nov_17,4.4,4.4
Oct_17,4.5,4.5
Sep_17,4.7,4.7
Aug_17,4.3,4.7
Jul_17,4.6,4.8
Jun_17,4.7,4.9
May_17,5.1,5.1
Apr_17,5.2,5.1
Mar_17,5.4,5.1
Feb_17,5.6,5.3
Jan_17,5.7,5.3
Dec_16,5.1,5.4
Nov_16,5.5,5.6
Oct_16,5.7,5.6
Sep_16,5.7,5.7
Aug_16,5.4,5.8
Jul_16,5.8,6
Jun_16,5.9,6.1
May_16,6.2,6.3
Apr_16,6.6,6.4
Mar_16,6.7,6.4
Feb_16,6.9,6.5
Jan_16,6.8,6.5
Dec_15,6.4,6.6
Nov_15,6.6,6.7
Oct_15,6.9,6.9
Sep_15,6.8,6.8
Aug_15,6.4,6.8
Jul_15,6.5,6.8
Jun_15,6.7,6.9
May_15,6.9,6.9
Apr_15,7.1,7
Mar_15,7.3,7
Feb_15,7.5,7.1
Jan_15,7.6,7.2
Dec_14,7,7.2
Nov_14,7.1,7.1
Oct_14,7.1,7.1
Sep_14,7.1,7.1
Aug_14,6.8,7.2
Jul_14,7,7.3
Jun_14,7.2,7.4
May_14,7.5,7.6
Apr_14,7.9,7.7
Mar_14,8.1,7.8
Feb_14,8.2,7.9
Jan_14,8.1,7.8
Dec_13,7.4,7.7
Nov_13,7.6,7.6
Oct_13,7.6,7.6
Sep_13,7.5,7.6
Aug_13,7.1,7.5
Jul_13,7.2,7.5
Jun_13,7.1,7.3
May_13,7.1,7.1
Apr_13,7.1,7
Mar_13,7.2,6.9
Feb_13,7.1,6.8
Jan_13,6.9,6.6
Dec_12,6.2,6.4
Nov_12,6.2,6.2
Oct_12,6.1,6.1
Sep_12,6,6
Aug_12,5.5,5.8
Jul_12,5.6,5.9
Jun_12,5.5,5.7
May_12,5.6,5.7
Apr_12,5.8,5.7
Mar_12,5.8,5.5
Feb_12,5.8,5.5
Jan_12,5.8,5.5
Dec_11,5.1,5.4
Nov_11,5.4,5.4
Oct_11,5.2,5.2
Sep_11,5.1,5.1
Aug_11,4.6,4.9
Jul_11,4.6,4.9
Jun_11,4.6,4.7
May_11,4.8,4.8
Apr_11,4.9,4.7
Mar_11,5.1,4.8
Feb_11,5.3,4.9
Jan_11,5.2,4.9
Dec_10,4.7,5
Nov_10,4.9,4.9
Oct_10,4.9,4.9
Sep_10,4.9,5
Aug_10,4.7,5
Jul_10,4.7,5
Jun_10,4.9,5
May_10,5,5
Apr_10,5.1,5
Mar_10,5.4,5.1
Feb_10,5.5,5.1
Jan_10,5.4,5.1
Dec_09,4.7,5
Nov_09,4.9,4.9
Oct_09,4.7,4.7
Sep_09,4.6,4.7
Aug_09,4.2,4.6
Jul_09,4.1,4.5
Jun_09,4.2,4.3
May_09,4.2,4.2
Apr_09,4.2,4.1
Mar_09,4.2,3.9
Feb_09,4.2,3.8
Jan_09,4,3.7
Dec_08,3.4,3.7
Nov_08,3.6,3.6
Oct_08,3.6,3.6
Sep_08,3.6,3.6
Aug_08,3.2,3.6
Jul_08,3.3,3.6
Jun_08,3.6,3.7
May_08,3.7,3.7
Apr_08,3.8,3.7
Mar_08,4,3.6
Feb_08,4.1,3.6
Jan_08,4.1,3.8
Dec_07,3.6,3.9
Nov_07,4,4
Oct_07,4,4
Sep_07,4,4
Aug_07,3.8,4.1
Jul_07,3.8,4.2
Jun_07,4,4.1
May_07,4.2,4.2
Apr_07,4.2,4.2
Mar_07,4.7,4.3
Feb_07,5,4.5
Jan_07,4.8,4.5
Dec_06,4.3,4.6
Nov_06,4.7,4.7
Oct_06,4.7,4.7
Sep_06,4.7,4.8
Aug_06,4.5,4.8
Jul_06,4.5,4.9
Jun_06,4.9,5
May_06,5.1,5.2
Apr_06,5.3,5.2
Mar_06,5.7,5.3
Feb_06,5.9,5.5
Jan_06,5.8,5.5
Dec_05,5.4,5.7
Nov_05,5.7,5.7
Oct_05,5.7,5.8
Sep_05,5.7,5.8
Aug_05,5.5,5.8
Jul_05,5.4,5.9
Jun_05,5.9,5.9
May_05,6,6
Apr_05,6.1,6
Mar_05,6.5,6
Feb_05,6.5,6
Jan_05,6.2,5.9
Dec_04,5.6,5.9
Nov_04,5.7,5.7
Oct_04,5.7,5.7
Sep_04,5.6,5.7
Aug_04,5.4,5.6
Jul_04,5.2,5.7
Jun_04,5.8,5.8
May_04,5.7,5.8
Apr_04,5.8,5.7
Mar_04,6,5.5
Feb_04,5.8,5.4
Jan_04,5.8,5.4
Dec_03,5,5.4
Nov_03,5.3,5.2
Oct_03,5.1,5.2
Sep_03,5,5.1
Aug_03,4.7,5
Jul_03,4.5,4.9
Jun_03,4.9,4.8
May_03,4.6,4.7
Apr_03,4.7,4.6
Mar_03,4.9,4.5
Feb_03,4.8,4.3
Jan_03,4.6,4.3
