Shakespeare's_play,Number_of_words
Henry_VI_-_Part_2,60
Henry_VI_-_Part_1,54
Richard_III,53
Antony_and_Cleopatra,53
Henry_IV_-_Part_2,52
Coriolanus,49
Timon_of_Athens,48
Julius_Caesar,47
Henry_V,44
Pericles_Prince_of_Tyre,43
Henry_VIII,43
Henry_VI_-_Part_3,43
Macbeth,38
Cymbeline,37
Richard_II,34
The_Taming_of_the_Shrew,34
Henry_IV_-_Part_1,34
The_Winter's_Tale,33
Romeo_and_Juliet,32
Hamlet,30
Troilus_and_Cressida,27
King_John,27
As_You_Like_It,26
King_Lear,25
Othello,25
Titus_Andronicus,24
The_Merry_Wives_of_Windsor,23
Measure_for_Measure,23
Much_Ado_About_Nothing,23
The_Merchant_of_Venice,22
All's_Well_That_Ends_Well,22
A_Midsummer_Night's_Dream,22
Love's_Labour's_Lost,19
The_Comedy_of_Errors,19
The_Tempest,19
Twelfth_Night,18
The_Two_Gentlemen_of_Verona,17
