business_school,Salary_in_thousand_U.S._dollars
Stanford_-_Palo_Alto_CA,255
Harvard_-_Boston_MA,239
Northwestern_(Kellogg)_-_Evanston_IL,188
Columbia_-_New_York_NY,208
Dartmouth_(Tuck)_-_Hanover_NH,190
Chicago_(Booth)_-_Chicago_IL,200
Pennsylvania_(Wharton)_-_Philadelphia_PA,207
UC_Berkeley_(Haas)_-_Berkeley_CA,180
MIT_(Sloan)_-_Cambridge_MA,200
Cornell_(Johnson)_-_Ithaca_NY,150
Yale_-_New_Haven_CT,188
Duke_(Fuqua)_-_Durham_NC,160
UNC_(Kenan-Flagler)_-_Chapel_Hill_NC,145
Texas-Austin_(McCombs)_-_Austin_TX,152
Michigan_(Ross)_-_Ann_Arbor_MI,168
Virginia_(Darden)_-_Charlottesville_VA,170
UCLA_(Anderson)_-_Los_Angeles_CA,160
NYU_(Stern)_-_New_York_NY,164
Carnegie_Mellon_(Tepper)_-_Pittsburgh_PA,151
Indiana_(Kelley)_-_Bloomington_IN,130
