player,Payroll_in_thousand_U.S._dollars
Albert_Rusnak,2001.67
Everton_Luiz,1100.0
Damir_Kreilach,1082.1
Joao_Plata,856.25
Marcelo_Silva,776.63
Sam_Johnson,767.5
Nedum_Onuoha,504.0
Jefferson_Savarino,498.7
Justen_Glad,366.7
Kelyn__Rowe,326.4
Kyle_Beckerman,325.0
Nick_Rimando,322.5
Brooks_Lennon,242.59
Jordan_Allen,238.0
Pablo_Ruiz,221.0
Tony_Beltran,207.0
Luke_Mulholland,155.0
Donny_Toia,131.25
Sebastian_Saucedo,123.0
Alex_Horwath,100.86
Aaron_Herrera,86.0
Nick_Besler,85.0
Andrew_Putna,70.88
Erik_Holt,70.25
David_Ochoa,70.25
Justin_Portillo,70.25
Tate_Schmitt,70.25
Corey_Baird,70.01
Julian_Vazquez,66.25
Luis_Arriaga,56.25
Doug_Martinez,56.25
