Month,Number_of_confirmed_cases
Dec_10,2337966
Dec_9,2324216
Dec_8,2309621
Dec_7,2295908
Dec_6,2292497
Dec_5,2281475
Dec_4,2268552
Dec_3,2257331
Dec_2,2244635
Dec_1,2230571
Nov_30,2222488
Nov_29,2218483
Nov_28,2208699
Nov_27,2196119
Nov_26,2183660
Nov_25,2170097
Nov_24,2153815
Nov_23,2144660
Nov_22,2140208
Nov_21,2127051
Nov_20,2109170
Nov_19,2086288
Nov_18,2065138
Nov_17,2036755
Nov_16,1991233
Nov_15,1981827
Nov_14,1954599
Nov_13,1922504
Nov_12,1898710
Nov_11,1865538
Nov_10,1829659
Nov_9,1807479
Nov_8,1787324
Nov_7,1748705
Nov_6,1661853
Nov_5,1601367
Nov_4,1543321
Nov_3,1502763
Nov_2,1466433
Nov_1,1413915
Oct_31,1364625
Oct_30,1331984
Oct_29,1282769
Oct_28,1235132
Oct_27,1198695
Oct_26,1165278
Oct_25,1138507
Oct_24,1086497
Oct_23,1041075
Oct_22,999043
Oct_21,957421
Oct_20,930745
Oct_19,910277
Oct_18,897034
Oct_17,867197
Oct_16,834770
Oct_15,809684
Oct_14,779063
Oct_13,756472
Oct_12,743479
Oct_11,734974
Oct_10,718773
Oct_9,691977
Oct_8,671638
Oct_7,653609
Oct_6,634763
Oct_5,624274
Oct_4,619190
Oct_3,606625
Oct_2,589543
Oct_1,577505
Sep_30,563535
Sep_29,550690
Sep_28,542639
Sep_27,538569
Sep_26,527446
Sep_25,513034
Sep_24,497237
Sep_23,481141
Sep_22,468069
Sep_21,458061
Sep_20,453763
Sep_19,442194
Sep_18,428696
Sep_17,415481
Sep_16,404888
Sep_15,395104
Sep_14,387252
Sep_13,381094
Sep_12,373911
Sep_11,363350
Sep_10,353944
Sep_9,344101
Sep_8,335524
Sep_7,328980
Sep_6,324777
Sep_5,317706
Sep_4,309156
Sep_3,300181
Sep_2,293024
Sep_1,286007
Aug_31,281025
Aug_30,277943
Aug_29,272530
Aug_28,267077
Aug_27,259698
Aug_26,253587
Aug_25,248158
Aug_24,244854
Aug_23,242899
Aug_22,238002
Aug_21,234400
Aug_20,229814
Aug_19,225043
Aug_18,221267
Aug_17,219029
Aug_16,218536
Aug_15,215521
Aug_14,212211
Aug_13,209365
Aug_12,206696
Aug_11,204172
Aug_10,202775
Aug_7,197921
Aug_6,195633
Aug_5,194029
Aug_4,192334
Aug_3,191295
Jul_31,187919
Jul_30,186573
Jul_29,185196
Jul_28,183804
Jul_27,183079
Jul_24,180528
Jul_23,179398
Jul_22,178336
Jul_21,177338
Jul_20,176754
Jul_17,174674
Jul_16,173838
Jul_15,173304
Jul_13,172377
Jul_10,170752
Jul_9,170094
Jul_8,169473
Jul_7,168810
Jul_6,168335
Jul_3,166960
Jul_2,166378
Jul_1,165719
Jun_30,164801
Jun_29,164260
Jun_28,163980
Jun_27,163454
Jun_26,162936
Jun_25,161348
Jun_24,161348
Jun_23,161267
Jun_22,160750
Jun_21,160377
Jun_20,160093
Jun_19,159452
Jun_18,158641
Jun_17,158174
Jun_16,157716
Jun_15,157372
Jun_14,157220
Jun_13,156813
Jun_12,156287
Jun_11,155561
Jun_10,155136
Jun_9,154591
Jun_8,154188
Jun_7,153977
Jun_6,153634
Jun_5,153055
Jun_4,152444
Jun_3,151677
Jun_2,151325
Jun_1,152091
May_31,151753
May_30,151496
May_29,149668
May_28,149071
May_27,145746
May_26,145555
May_25,145279
May_24,144921
May_23,144806
May_22,144566
May_21,144163
May_20,143845
May_19,143427
May_18,142903
May_17,142411
May_16,142291
May_15,141919
May_14,141356
May_13,140734
May_12,140227
May_11,139519
May_10,139063
May_9,138854
May_8,138421
May_7,137779
May_6,137150
May_5,132967
May_4,131863
May_3,131287
May_2,130979
May_1,130185
Apr_30,129581
Apr_29,128442
Apr_28,126835
Apr_27,125770
Apr_26,124575
Apr_25,124114
Apr_24,122577
Apr_23,120840
Apr_22,119151
Apr_21,117324
Apr_20,114657
Apr_19,112606
Apr_18,111821
Apr_17,109252
Apr_16,108847
Apr_15,106206
Apr_14,103573
Apr_13,98076
Apr_12,95403
Apr_11,93790
Apr_10,90676
Apr_9,86334
Apr_8,82048
Apr_7,78167
Apr_6,74389
Apr_5,70478
Apr_4,68605
Apr_3,64338
Apr_2,59105
Apr_1,56989
Mar_31,52128
Mar_30,44550
Mar_29,40174
Mar_28,37575
Mar_27,32964
Mar_26,29155
Mar_25,25233
Mar_24,22302
Mar_23,19856
Mar_22,16018
Mar_21,14459
Mar_20,12612
Mar_19,10995
Mar_18,9134
Mar_17,7730
Mar_16,6633
Mar_15,5423
Mar_14,4499
Mar_13,3661
Mar_12,2876
Mar_11,2281
Mar_10,1784
Mar_9,1412
Mar_8,1126
Mar_7,949
Mar_6,613
Mar_5,423
Mar_4,285
Mar_3,212
Mar_2,191
Mar_1,130
Feb_29,100
Feb_28,73
Feb_27,38
Feb_26,18
Feb_25,14
Feb_24,12
Feb_23,12
Feb_22,12
Feb_21,12
