State,Cost_of_care_as_a_percentage_of_median_income
California,17.5
Maine,16.5
Massachusetts,16.4
Colorado,16
Oregon,15.7
Washington,15.3
Minnesota,15.3
Indiana,14.8
New_York,14.7
Kansas,14.6
Hawaii,14.3
Nevada,14.2
Illinois,14
District_of_Columbia,13.9
Nebraska,13.8
Virginia,13.7
Arizona,13.4
Wisconsin,13.4
Vermont,13.4
Connecticut,12.7
New_Jersey,12.6
Maryland,12.6
New_Mexico,12.5
Utah,12
New_Hampshire,12
Pennsylvania,11.9
Iowa,11.8
Idaho,11.8
Oklahoma,11.7
Alaska,11.7
Florida,11.7
Missouri,11.6
Texas,11.6
Michigan,11.5
Tennessee,11.5
South_Carolina,11.2
Delaware,11.2
North_Carolina,11.2
Ohio,11
Rhode_Island,10.7
West_Virginia,10.6
Georgia,10.4
Wyoming,10.1
Louisiana,9.5
Kentucky,9.4
North_Dakota,9.3
Alabama,9.1
Arkansas,8.9
Mississippi,7.6
South_Dakota_,0
Montana_,0
