State,Number_of_deaths
Texas_(1900),8000
Florida_(1928),2500
Katrina_-_Southeast_Louisiana/Mississippi_(2005),1500
Louisiana_(1893),1100
South_Carolina_Georgia_(1893),1000
South_Carolina_Georgia_(1881),700
Audrey_-_Southwest_Louisiana_North_Texas_(1957),416
Florida_(1935),408
Louisiana_(1856),400
Florida_(1926),372
Louisiana_(1909),350
Florida_(1919),287
Louisiana_(1915),275
Texas_(1915),275
New_England_(1938),256
Camille_-_Mississippi_Southeast_Louisiana/VA_(1969),256
Diane_-_Northeast_U.S._(1955),184
Georgia_South_Carolina_North_Carolina_(1898),179
Texas_(1875),176
Florida_(1906),164
Texas_(1886),150
Mississippi._Alabama_Pensacola_(1906),134
Florida_Georgia_South_Carolina_(1896),130
Agnes_-_Florida_Northeast_U.S._(1972),122
Hazel_-_North/South_Carolina_(1954),95
Betsy_-_Southeast_Florida_Southeast_Louisiana_(1965),75
Sandy_-_New_Jersey_New_York_Connecticut_(2012),72
Northeast_U.S._(1944),64
Carol_-_Northeast_U.S._(1954),60
Floyd_-_Mid_Atlantic_&_Northeast_U.S._(1999),56
North_Carolina_(1883),53
Southeast_Florida/Louisiana_Mississippi_(1947),51
North/South_Carolina_Georgia_(1940),50
Donna_-_Florida_Eastern_U.S._(1960),50
North/South_Carolina_(1899),50
