Month,Inflation_rate
Jul_'20,2.8
Jun_'20,1
May_'20,2.5
Apr_'20,3.2
Mar_'20,3.5
Feb_'20,4.4
Jan_'20,3.4
Dec_'19,2.4
Nov_'19,2.5
Oct_'19,2.6
Sep_'19,2.4
Aug_'19,4.5
Jul_'19,4.2
Jun_'19,4.1
May_'19,4.3
Apr_'19,3.2
Mar_'19,2.3
Feb_'19,1
Jan_'19,1.4
Dec_'18,0.6
Nov_'18,0.4
Oct_'18,1
Sep_'18,1.1
Aug_'18,-0.2
Jul_'18,-0.9
Jun_'18,0.2
May_'18,0.4
Apr_'18,0.3
Mar_'18,1.2
Feb_'18,1.2
Jan_'18,1.9
Dec_'17,3.8
Nov_'17,4.7
Oct_'17,5.3
Sep_'17,5.5
Aug_'17,6.8
Jul_'17,6.6
Jun_'17,6.5
May_'17,5.1
Apr_'17,5.3
Mar_'17,5.7
Feb_'17,6.4
Jan_'17,6.8
Dec_'16,5
Nov_'16,2.9
Oct_'16,2.5
Sep_'16,2
Aug_'16,0.4
Jul_'16,1
Jun_'16,0.3
May_'16,0
Apr_'16,0.1
Mar_'16,0.2
Feb_'16,0.3
Jan_'16,-0.3
Dec_'15,-0.8
Nov_'15,-0.1
Oct_'15,-0.3
Sep_'15,-1.5
Aug_'15,-1.6
Jul_'15,-2
Jun_'15,-2.3
May_'15,-0.5
