Month,United_States,Germany
Aug_'20,0.65,-0.52
Jul_'20,0.62,-0.52
Jun_'20,0.73,-0.43
May_'20,0.67,-0.52
Apr_'20,0.66,-0.45
Mar_'20,0.87,-0.54
Feb_'20,1.5,-0.47
Jan_'20,1.76,-0.31
Dec_'19,1.86,-0.3
Nov_'19,1.81,-0.35
Oct_'19,1.71,-0.47
Sep_'19,1.7,-0.59
Aug_'19,1.63,-0.65
Jul_'19,2.06,-0.39
Jun_'19,2.07,-0.31
May_'19,2.4,-0.13
Apr_'19,2.53,-0.04
Mar_'19,2.57,0.01
Feb_'19,2.68,0.06
Jan_'19,2.71,0.13
Dec_'18,2.83,0.19
Nov_'18,3.12,0.31
Oct_'18,3.15,0.4
Sep_'18,3,0.37
Aug_'18,2.89,0.29
Jul_'18,2.89,0.28
Jun_'18,2.91,0.33
May_'18,2.98,0.45
Apr_'18,2.87,0.48
Mar_'18,2.84,0.53
Feb_'18,2.86,0.66
Jan_'18,2.58,0.47
Dec_'17,2.4,0.3
Nov_'17,2.35,0.31
Oct_'17,2.36,0.37
Sep_'17,2.2,0.35
Aug_'17,2.21,0.35
Jul_'17,2.32,0.46
Jun_'17,2.19,0.25
May_'17,2.3,0.34
Apr_'17,2.3,0.22
Mar_'17,2.48,0.35
Feb_'17,2.42,0.26
Jan_'17,2.43,0.25
Dec_'16,2.49,0.25
Nov_'16,2.14,0.19
Oct_'16,1.76,0
Sep_'16,1.63,-0.09
Aug_'16,1.56,-0.13
Jul_'16,1.5,-0.15
Jun_'16,1.64,-0.02
May_'16,1.81,0.13
Apr_'16,1.81,0.13
Mar_'16,1.89,0.17
Feb_'16,1.78,0.17
Jan_'16,2.09,0.43
Dec_'15,2.24,0.55
Nov_'15,2.26,0.52
Oct_'15,2.07,0.52
Sep_'15,2.17,0.65
Aug_'15,2.17,0.61
Jul_'15,2.32,0.71
Jun_'15,2.36,0.79
May_'15,2.2,0.56
Apr_'15,1.94,0.12
Mar_'15,2.04,0.23
Feb_'15,1.98,0.3
Jan_'15,1.88,0.39
Dec_'14,2.21,0.59
Nov_'14,2.33,0.72
Oct_'14,2.3,0.79
Sep_'14,2.53,0.92
Aug_'14,2.42,0.95
Jul_'14,2.54,1.11
Jun_'14,2.6,1.26
May_'14,2.56,1.33
Apr_'14,2.71,1.46
Mar_'14,2.72,1.51
Feb_'14,2.71,1.56
Jan_'14,2.86,1.76
Dec_'13,2.9,1.8
Nov_'13,2.72,1.68
Oct_'13,2.62,1.76
Sep_'13,2.81,1.89
Aug_'13,2.74,1.73
Jul_'13,2.58,1.56
Jun_'13,2.3,1.53
May_'13,1.93,1.29
Apr_'13,1.76,1.2
Mar_'13,1.96,1.35
Feb_'13,1.98,1.54
Jan_'13,1.91,1.51
Dec_'12,1.72,1.3
Nov_'12,1.65,1.34
Oct_'12,1.75,1.47
Sep_'12,1.72,1.49
Aug_'12,1.68,1.34
Jul_'12,1.53,1.24
Jun_'12,1.62,1.3
May_'12,1.8,1.34
Apr_'12,2.05,1.62
Mar_'12,2.17,1.83
Feb_'12,1.97,1.85
Jan_'12,1.97,1.82
Dec_'11,1.98,1.93
Nov_'11,2.01,1.87
Oct_'11,2.15,2
Sep_'11,1.98,1.83
Aug_'11,2.3,2.21
Jul_'11,3,2.74
Jun_'11,3,2.89
May_'11,3.17,3.06
Apr_'11,3.46,3.34
Mar_'11,3.41,3.21
Feb_'11,3.58,3.2
Jan_'11,3.39,3.02
Dec_'10,3.29,2.91
Nov_'10,2.76,2.53
Oct_'10,2.54,2.35
Sep_'10,2.65,2.3
Aug_'10,2.7,2.35
Jul_'10,3.01,2.62
Jun_'10,3.2,2.54
May_'10,3.42,2.73
Apr_'10,3.85,3.06
Mar_'10,3.73,3.1
Feb_'10,3.69,3.17
Jan_'10,3.73,3.26
Dec_'09,3.59,3.14
Nov_'09,3.4,3.22
Oct_'09,3.39,3.21
Sep_'09,3.4,3.26
Aug_'09,3.59,3.31
Jul_'09,3.56,3.34
Jun_'09,3.72,3.47
May_'09,3.29,3.37
Apr_'09,2.93,3.13
Mar_'09,2.82,3.02
Feb_'09,2.87,3.13
Jan_'09,2.52,3.07
Dec_'08,2.42,3.05
Nov_'08,3.53,3.56
Oct_'08,3.81,3.88
Sep_'08,3.69,4.09
Aug_'08,3.89,4.2
Jul_'08,4.01,4.49
Jun_'08,4.1,4.52
May_'08,3.88,4.2
Apr_'08,3.68,4.04
Mar_'08,3.51,3.8
Feb_'08,3.74,3.95
Jan_'08,3.74,4.03
