Quarter,"Number_of_jobs_(in_1,000s)"
Q3_2020,34685
Q2_2020,35160
Q1_2020,35620
Q4_2019,35658
Q3_2019,35627
Q2_2019,35557
Q1_2019,35452
Q4_2018,35233
Q3_2018,35075
Q2_2018,34980
Q1_2018,34955
Q4_2017,34865
Q3_2017,34956
Q2_2017,34862
Q1_2017,34860
Q4_2016,34656
Q3_2016,34591
Q2_2016,34568
Q1_2016,34385
Q4_2015,34144
Q3_2015,34081
Q2_2015,33897
Q1_2015,33821
Q4_2014,33678
Q3_2014,33573
Q2_2014,33444
Q1_2014,33152
Q4_2013,32823
Q3_2013,32461
Q2_2013,32235
Q1_2013,32195
Q4_2012,31978
Q3_2012,32028
Q2_2012,32091
Q1_2012,32167
Q4_2011,31794
Q3_2011,31775
Q2_2011,31559
Q1_2011,31652
Q4_2010,31553
Q3_2010,31505
Q2_2010,31561
Q1_2010,31496
Q4_2009,31465
Q3_2009,31606
Q2_2009,31730
Q1_2009,31924
Q4_2008,32118
Q3_2008,32314
Q2_2008,32347
Q1_2008,32293
Q4_2007,32248
Q3_2007,32219
Q2_2007,32087
Q1_2007,32007
Q4_2006,32064
Q3_2006,31950
Q2_2006,31810
Q1_2006,31709
Q4_2005,31628
Q3_2005,31542
Q2_2005,31404
Q1_2005,31357
Q4_2004,31212
Q3_2004,31063
Q2_2004,31032
Q1_2004,30980
Q4_2003,30893
Q3_2003,30876
Q2_2003,30709
Q1_2003,30538
Q4_2002,30482
Q3_2002,30505
Q2_2002,30420
Q1_2002,30319
Q4_2001,30319
Q3_2001,30315
Q2_2001,30142
Q1_2001,30025
Q4_2000,30009
Q3_2000,29961
Q2_2000,29779
Q1_2000,29640
Q4_1999,29714
Q3_1999,29578
Q2_1999,29328
Q1_1999,29243
Q4_1998,29210
Q3_1998,29049
Q2_1998,28951
Q1_1998,29044
Q4_1997,29018
Q3_1997,28906
Q2_1997,28760
Q1_1997,28500
Q4_1996,28495
Q3_1996,28406
Q2_1996,28243
Q1_1996,28098
Q4_1995,28195
Q3_1995,28048
Q2_1995,28044
Q1_1995,27928
Q4_1994,27947
Q3_1994,27873
Q2_1994,27675
Q1_1994,27628
Q4_1993,27651
Q3_1993,27579
Q2_1993,27517
Q1_1993,27530
Q4_1992,27415
Q3_1992,27555
Q2_1992,27963
Q1_1992,28116
Q4_1991,28126
Q3_1991,28277
Q2_1991,28444
Q1_1991,28734
Q4_1990,29043
Q3_1990,29264
Q2_1990,29370
Q1_1990,29283
Q4_1989,29264
Q3_1989,29160
Q2_1989,29049
Q1_1989,28948
Q4_1988,28642
Q3_1988,28441
Q2_1988,28161
Q1_1988,27949
Q4_1987,27733
Q3_1987,27476
Q2_1987,27188
Q1_1987,26879
Q4_1986,26817
Q3_1986,26763
Q2_1986,26654
Q1_1986,26614
Q4_1985,26654
Q3_1985,26678
Q2_1985,26607
Q1_1985,26558
Q4_1984,26507
Q3_1984,26417
Q2_1984,26293
Q1_1984,26173
Q4_1983,26044
Q3_1983,25881
Q2_1983,25589
Q1_1983,25522
Q4_1982,25588
Q3_1982,25790
Q2_1982,25895
Q1_1982,25990
Q4_1981,26047
Q3_1981,26251
Q2_1981,26348
Q1_1981,26551
Q4_1980,26813
Q3_1980,27108
Q2_1980,27369
Q1_1980,27465
Q4_1979,27542
Q3_1979,27493
Q2_1979,27413
Q1_1979,27303
Q4_1978,27274
Q3_1978,27092
Q2_1978,26988
Q1_1978,26943
Q4_1977,26872
Q3_1977,26846
Q2_1977,26823
Q1_1977,26823
Q4_1976,26816
Q3_1976,26775
Q2_1976,26784
Q1_1976,26804
Q4_1975,26881
Q3_1975,26954
Q2_1975,27023
Q1_1975,27066
Q4_1974,27154
Q3_1974,27211
Q2_1974,27113
Q1_1974,27055
Q4_1973,27083
Q3_1973,27055
Q2_1973,27023
Q1_1973,27035
Q4_1972,26688
Q3_1972,26514
Q2_1972,26396
Q1_1972,26402
Q4_1971,26205
Q3_1971,26219
Q2_1971,26408
Q1_1971,26427
Q4_1970,26631
Q3_1970,26693
Q2_1970,26747
Q1_1970,26844
Q4_1969,26812
Q3_1969,26841
Q2_1969,26843
Q1_1969,26836
Q4_1968,26844
Q3_1968,26834
Q2_1968,26808
Q1_1968,26830
Q4_1967,26874
Q3_1967,26997
Q2_1967,26958
Q1_1967,26933
Q4_1966,27084
Q3_1966,27331
Q2_1966,27324
Q1_1966,27332
Q4_1965,27285
Q3_1965,27165
Q2_1965,27146
Q1_1965,27117
Q4_1964,27061
Q3_1964,26984
Q2_1964,26861
Q1_1964,26759
Q4_1963,26708
Q3_1963,26565
Q2_1963,26542
Q1_1963,26328
Q4_1962,26415
Q3_1962,26485
Q2_1962,26506
Q1_1962,26450
Q4_1961,26301
Q3_1961,26374
Q2_1961,26312
Q1_1961,26345
Q4_1960,26246
Q3_1960,26060
Q2_1960,26015
Q1_1960,25905
Q4_1959,25751
Q3_1959,25660
Q2_1959,25555
