business,Amount_contributed_in_U.S._dollars
University_of_California,1212245
Microsoft_Corp,814645
Google_Inc,801770
U.S._Government,728647
Harvard_University,668368
Kaiser_Permanente,588386
Stanford_University,512356
Deloitte_LLP,456975
Columbia_University,455309
Time_Warner,442271
U.S._Department_of_State,417629
DLA_Piper,401890
Sidley_Austin_LLP,400883
Walt_Disney_Co,369598
IBM_Corp,369491
University_of_Chicago,357185
University_of_Michigan,339806
Comcast_Corp,337628
U.S._Department_of_Justice,334659
U.S._Department_of_Health_&_Human_Services,309956
