Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,4541.8
Professional_and_business_services,2710.7
Government,2639.5
Manufacturing,2345.8
Educational_services_health_care_and_social_assistance,1865.4
Wholesale_trade,1262.3
Retail_trade,1162.2
Information,1127.5
Arts_entertainment_recreation_accommodation_and_food_services,907.2
Construction,892.7
Transportation_and_warehousing,696.7
Other_services_except_government,461.3
Mining,309.5
Utilities,335.3
Agriculture_forestry_fishing_and_hunting,175.4
