Month,Amounts_outstanding_in_million_GBP
Jun_'20,85883
May_'20,83857
Apr_'20,82675
Mar_'20,83189
Feb_'20,82943
Jan_'20,82892
Dec_'19,82708
Nov_'19,82821
Oct_'19,82886
Sep_'19,82828
Aug_'19,82791
Jul_'19,82677
Jun_'19,82598
May_'19,82475
Apr_'19,82589
Mar_'19,82887
Feb_'19,82678
Jan_'19,82400
Dec_'18,82161
Nov_'18,81938
Oct_'18,81746
Sep_'18,81743
Aug_'18,81629
Jul_'18,81619
Jun_'18,81550
May_'18,81476
Apr_'18,81528
Mar_'18,81600
Feb_'18,81701
Jan_'18,81859
Dec_'17,81958
Nov_'17,82056
Oct_'17,82092
Sep_'17,82072
Aug_'17,82047
Jul_'17,82094
Jun_'17,82122
May_'17,82131
Apr_'17,82032
Mar_'17,81834
Feb_'17,81544
Jan_'17,81216
