Household_composition,Percentage_of_respondents
One_adult_retired_mainly_dependent_on_state_pensions,87
One_adult_other_retired,93
One_adult_non-retired,94
One_adult_one_child,97
One_adult_two_or_more_children,100
Two_adults_retired_mainly_dependent_on_state_pensions,100
Two_adults_other_retired,99
Two_adults_non-retired,99
Two_adults_one_child,100
Two_adults_two_children,100
Two_adults_three_children,100
Two_adults_four_or_more_children,100
Three_adults,99
Three_adults_one_or_more_children,100
All_other_households_without_children,100
All_other_households_with_children,100
