Football_player,Number_of_goals
Harry_Kane_(England),6
Antoine_Griezmann_(France),4
Romelu_Lukaku_(Belgium),4
Denis_Cheryshev_(Russia),4
Cristiano_Ronaldo_(Portugal),4
Kylian_Mbappe_(France),4
Artem_Dzyuba_(Russia),3
Eden_Hazard_(Belgium),3
Mario_Mandzukic_(Croatia),3
Ivan_Perisic_(Croatia),3
Yerry_Mina_(Colombia),3
Diego_Costa_(Spain),3
Edinson_Cavani_(Uruguay),3
Wahbi_Khazri_(Tunisia),2
Philippe_Coutinho_(Brazil),2
Neymar_(Brazil),2
Takashi_Inui_(Japan),2
Luis_Suarez_(Uruguay),2
Luka_Modric_(Croatia),2
Mohamed_Salah_(Egypt),2
Sergio_Agüero_(Argentina),2
Ahmed_Musa_(Nigeria),2
Heung-Min_Son_(South_Korea),2
Mile_Jedinak_(Australia),2
Andreas_Granqvist_(Sweden),2
John_Stones_(England),2
