Response,Do_not_buy_this_category,Online_via_social_media_platform,Online_via_mobile_or_smartphone,Online_via_tablet,Online_via_PC,In-store
Clothing_and_footwear,2,0,2,4,29,63
Consumer_electronics_and_computers,4,0,1,4,45,45
Books_music_movies_video_games,5,0,3,6,61,24
Grocery,5,0,2,3,21,69
Household_appliances,6,1,1,4,39,49
Furniture_and_homeware,7,0,1,3,26,63
Home_improvement,13,0,2,3,22,60
Health_and_beauty,15,0,3,4,22,57
Jewellery,21,0,2,3,21,53
Sports_equipment,27,0,2,4,25,42
Toys,32,0,2,4,27,35
