Country,GDP_per_capita_international_dollars_(at_purchasing_power_parity)
Macao_SAR,121763.76
Luxembourg,120490.33
Singapore,101458.1
Qatar,95107.74
Ireland,91958.85
Switzerland,72008.02
Norway,66214.05
United_States,65253.52
United_Arab_Emirates,63589.8
San_Marino,63133.0
Hong_Kong_SAR,62267.4
Brunei_Darussalam,61032.84
Denmark,59719.02
Netherlands,59693.37
Iceland,58965.05
Austria,58849.55
Germany,56226.22
Sweden,55264.97
Belgium,54028.79
Taiwan_Province_of_China,53274.55
Australia,52725.75
Bahrain,51891.51
Canada,51190.13
Finland,50748.17
France,49798.55
