Month,Number_of_people
Feb_28,1
Mar_10,2
Mar_13,3
Mar_14,1
Mar_15,5
Mar_16,5
Mar_17,9
Mar_18,8
Mar_19,14
Mar_20,15
Mar_21,36
Mar_22,30
Mar_23,50
Mar_24,30
Mar_25,70
Mar_26,20
Mar_27,55
Mar_28,28
Mar_29,78
Mar_30,24
Mar_31,49
Apr_1,48
Apr_2,68
Apr_3,47
Apr_4,75
Apr_5,40
Apr_6,32
Apr_7,37
Apr_8,32
Apr_9,42
Apr_10,44
Apr_11,27
Apr_12,28
Apr_13,9
Apr_14,8
Apr_15,21
Apr_16,37
Apr_17,21
Apr_18,90
Apr_19,59
Apr_20,28
Apr_21,24
Apr_22,20
Apr_23,28
Apr_24,12
Apr_25,16
Apr_26,12
Apr_27,11
Apr_28,5
Apr_29,31
Apr_30,10
May_1,14
May_2,7
May_3,4
May_4,9
May_5,4
May_6,5
May_7,5
May_8,3
May_9,8
May_10,35
May_11,6
May_12,6
May_13,14
May_14,6
May_15,12
May_16,11
May_17,7
May_18,6
May_19,15
May_20,15
May_21,16
May_22,11
May_23,12
May_24,7
May_25,12
May_26,4
May_27,8
May_28,9
May_29,6
May_30,8
May_31,5
Jun_1,3
Jun_2,4
Jun_3,2
Jun_4,3
Jun_5,7
Jun_6,11
Jun_7,9
Jun_8,6
Jun_9,7
Jun_10,6
Jun_11,19
Jun_12,4
Jun_13,1
Jun_14,5
Jun_15,5
Jun_16,3
Jun_17,2
Jun_18,6
Jun_19,8
Jun_20,3
Jun_21,3
Jun_22,3
Jun_23,2
Jun_24,1
Jun_25,2
Jun_26,2
Jun_29,1
Jun_30,1
Jul_1,1
Jul_3,3
Jul_10,4
Jul_13,5
Jul_20,15
Jul_27,11
Aug_1,18
Aug_2,17
Aug_3,10
Aug_6,24
Aug_7,23
Aug_8,37
Aug_9,21
Aug_12,26
Aug_13,21
Aug_15,34
Aug_16,30
Aug_17,20
Aug_18,38
Aug_19,22
Aug_20,32
Aug_21,36
Aug_22,30
Aug_23,41
Aug_29,29
Aug_30,35
Sep_3,20
Sep_4,26
Sep_5,36
Sep_6,43
Sep_14,51
Sep_20,80
Sep_30,115
Oct_1,91
Oct_5,100
Oct_10,204
Oct_11,160
Oct_16,281
Oct_17,228
Oct_18,252
Oct_19,205
Oct_29,950
Oct_30,735
Oct_31,1001
Nov_01,895
Nov_02,837
Nov_03,897
Nov_04,639
Nov_05,999
Nov_06,1656
Nov_07,1972
Nov_08,1980
Nov_09,1033
Nov_10,1109
Nov_11,1418
Nov_12,1553
Nov_13,2044
Nov_14,1530
Nov_16,1151
Nov_18,1937
Nov_19,1673
