Quarter,Profits_in_billion_U.S._dollars
Q3_'20,2325.7
Q2_'20,1826.1
Q1_'20,2035.0
Q4_'19,2311.3
Q3_'19,2246.5
Q2_'19,2263.2
Q1_'19,2181.2
Q4_'18,2282.5
Q3_'18,2258.1
Q2_'18,2225.3
Q1_'18,2206.0
Q4_'17,2155.0
Q3_'17,2136.0
Q2_'17,2103.0
Q1_'17,2064.1
Q4_'16,2049.6
Q3_'16,2025.6
Q2_'16,1992.8
Q1_'16,2026.9
Q4_'15,1945.5
Q3_'15,2066.3
Q2_'15,2108.8
Q1_'15,2121.3
Q4_'14,2184.2
Q3_'14,2191.0
Q2_'14,2138.3
Q1_'14,1967.4
Q4_'13,2047.9
Q3_'13,2011.1
Q2_'13,2000.2
Q1_'13,1983.5
Q4_'12,1971.7
Q3_'12,1985.4
Q2_'12,2006.9
Q1_'12,2025.6
Q4_'11,1958.5
Q3_'11,1818.5
Q2_'11,1791.8
Q1_'11,1670.4
Q4_'10,1828.8
Q3_'10,1802.8
Q2_'10,1640.8
Q1_'10,1642.6
Q4_'09,1551.9
Q3_'09,1456.5
Q2_'09,1283.3
Q1_'09,1255.1
