Month,Number_of_medtech_IPOs
July_2019_to_June_2020,14.0
July_2018_to_June_2019,16.0
July_2017_to_June_2018,28.0
July_2016_to_June_2017,21.0
July_2015_to_June_2016,16.0
July_2014_to_June_2015,44.0
July_2013_to_June_2014,34.0
July_2008_to_June_2013_average,12.6
July_2012_to_June_2013,15.0
July_2011_to_June_2012,15.0
July_2010_to_June_2011,20.0
July_2009_to_June_2010,8.0
July_2008_to_June_2009,5.0
July_2005_to_June_2008_average,30.7
July_2007_to_June_2008,26.0
July_2006_to_June_2007,34.0
July_2005_to_June_2006,32.0
