state_of_India,Number_of_registered_cars_in_thousands
Maharashtra,3715.74
Delhi,3061.82
Gujarat,2527.54
Kerala,2386.0
Tamil_Nadu,2315.77
Karnataka,2110.49
Uttar_Pradesh,2027.97
Haryana,1851.79
Telangana,1081.63
Rajasthan,988.39
West_Bengal,961.37
Madhya_Pradesh,869.78
Assam,620.2
Andhra_Pradesh,545.71
Chandigarh,469.67
Jammu_and_Kashmir,421.39
Uttarakhand,385.45
Jharkhand,352.51
Odisha,350.23
Himachal_Pradesh,318.24
Bihar,300.08
Chhattisgarh,282.06
Goa,251.03
Puducherry,91.08
Meghalaya,81.08
Nagaland,74.56
Arunachal_Pradesh,57.55
Manipur,52.12
Tripura,41.62
Dadra_and_Nagar_Haveli,30.34
Mizoram,26.87
Daman_and_Diu,24.77
Sikkim,18.66
Lakshadweep,0.16
