baseball_team,Average_player_age_in_years
Washington_Nationals,30.1
Oakland_Athletics,28.7
Houston_Astros,29.0
Chicago_Cubs,28.9
Atlanta_Braves,28.9
New_York_Yankees,29.0
Milwaukee_Brewers,28.8
San_Francisco_Giants,29.7
New_York_Mets,29.3
St._Louis_Cardinals,28.7
Minnesota_Twins,29.7
Tampa_Bay_Rays,28.0
Boston_Red_Sox,28.6
Chicago_White_Sox,28.4
Los_Angeles_Dodgers,28.0
Seattle_Mariners,26.9
Miami_Marlins,28.0
Cleveland_Indians,28.5
Texas_Rangers,29.6
Los_Angeles_Angels,28.5
Colorado_Rockies,27.6
Pittsburgh_Pirates,27.8
Cincinnati_Reds,28.6
Philadelphia_Phillies,28.9
Kansas_City_Royals,28.0
Arizona_Diamondbacks,28.8
Toronto_Blue_Jays,27.9
Detroit_Tigers,27.6
San_Diego_Padres,26.7
Baltimore_Orioles,27.4
