Tweet,Number_of_retweets
Yusaku_Maezawa:_offering_1M_yen_each_to_100_randomly_selected_people_who_retweeted_the_message_and_followed_him_(Jan_'19),4.2
Yusaku_Maezawa:_giveaway_with_1bn_yen_being_promises_to_1000_people_(Dec_'19),3.9
Carter_Wilkerson:_Wendys_free_chicken_nuggets_(Apr_'17),3.4
Ellen_DeGeneres:_2014_Oscars_photo_(Mar_'14),3.1
Louis_Tomlinson:_Always_in_my_heart_@Harry_Styles_._Yours_sincerely_Louis_(Oct_'11),2.5
El_Rubius:_LIMONADA_(Aug_'16),1.6
"Barack_Obama:_""No_one_is_born_hating_another_person_because_of_the_color_of_his_skin...""_(Aug_'17)",1.5
El_Rubius:_LIMONADA_2.0_(Sep_'18),1.3
Jimmy_Donaldson_(MrBeast):_$10k_giveaway_based_on_retweet_on_the_occasion_of_his_birthday_(May_'19),1.1
BTS:_Duh_(emoji)_(Jungkook_dancing_to_Billie_Eilish’s_hit_“Bad_Guy”),1.0
