Vegetable,Amount_in_million_metric_tons
Tomatoes,182.26
Onions_dry,96.77
Cucumbers_and_gherkins,75.22
Cabbages_and_other_brassicas,69.38
Eggplants_(aubergines),54.08
Carrots_and_turnips,40.0
Chillies_and_peppers_green,36.77
Garlic,28.49
Pumpkins_squash_and_gourds,27.64
Lettuce_and_chicory,27.26
Cauliflowers_and_broccoli,26.5
Spinach,26.26
Beans_green,24.75
Peas_green,21.23
Maize_green,11.52
Okra,9.87
Asparagus,9.11
Mushrooms_and_truffles,8.99
Onions_shallots_green,5.47
Cassava_leaves,2.37
Leeks_other_alliaceous_vegetables,2.18
String_beans,1.87
Artichokes,1.68
