Response,Share_of_respondents_who_thought_they'd_encounter_fake_news_stories
Facebook,58
Internet_News_Sites,51
Twitter,49
Saturday_Night_Live,39
Fox_News,24
Radio_Talk_Shows,24
The_Daily_Show,24
CNN,24
MSNBC,17
The_New_York_Times,17
Good_Morning_America_(ABC),15
CBS_This_Morning_(CBS),14
The_Today_Show_(NBC),14
USA_Today,13
ABC_World_News_Tonight,13
Local_Radio_News_Stations,12
Meet_the_Press_(NBC),12
CBS_Evening_News,12
NBC_Nightly_News,12
Local_Newspapers,11
60_Minutes_(CBS),11
NPR_(National_Public_Radio),11
Face_the_Nation_(CBS),11
PBS_News_Hour,9
Local_TV_News,8
