industry,Direct_investments_in_billion_U.S._dollars
Holding_companies_(non-bank),1835.31
Finance_(except_depository_institutions_and_insurance),394.28
Other_industries,241.27
Information,198.33
Chemicals,120.75
Other_manufacturing,101.74
Professional_scientific_and_technical_services,85.69
Wholesale_trade,71.52
Machinery,48.94
Food,48.4
Depository_Institutions,47.98
Computers_and_electronic_products,40.79
Transportation_equipment,25.8
Primary_and_fabricated_metals,22.93
Mining,8.81
Electrical_equipment_appliances_and_components,6.57
