Month,Index_number_of_sales_per_week
Jun_20,112.8
May_20,54.4
Apr_20,29.2
Mar_20,89.6
Feb_20,154.7
Jan_20,120.1
Dec_19,115.5
Nov_19,128.6
Oct_19,149.4
Sep_19,113.5
Aug_19,110.5
Jul_19,113.9
Jun_19,161.3
May_19,112.3
Apr_19,96.8
Mar_19,165.8
Feb_19,147.5
Jan_19,114.0
Dec_18,127.4
Nov_18,118.5
Oct_18,79.8
Sep_18,105.2
Aug_18,106.0
Jul_18,130.3
Jun_18,100.6
May_18,100.7
Apr_18,107.1
Mar_18,116.1
Feb_18,98.1
Jan_18,107.4
Dec_17,111.3
Nov_17,103.7
Oct_17,116.3
Sep_17,113.1
Aug_17,107.1
Jul_17,126.0
Jun_17,90.0
May_17,113.9
Apr_17,107.7
Mar_17,80.6
Feb_17,87.7
Jan_17,100.8
Dec_16,98.2
Nov_16,100.7
Oct_16,99.5
Sep_16,102.4
Aug_16,108.3
Jul_16,92.0
Jun_16,99.7
May_16,86.5
Apr_16,102.0
Mar_16,99.9
Feb_16,104.0
Jan_16,104.0
