Month,Number_of_viewers_in_thousands
November_2020,71.76
October_2020,74.95
September_2020,81.84
August_2020,111.87
July_2020,126.67
June_2020,139.42
May_2020,134.16
April_2020,104.97
March_2020,75.52
February_2020,62.42
January_2020,57.29
December_2019,50.94
November_2019,46.08
October_2019,49.63
September_2019,54.82
August_2019,86.92
July_2019,84.26
June_2019,83.11
May_2019,100.43
April_2019,115.32
March_2019,82.93
February_2019,19.08
January_2019,16.32
December_2018,12.58
November_2018,13.66
October_2018,15.99
September_2018,18.28
August_2018,20.54
July_2018,21.88
June_2018,16.94
May_2018,15.68
April_2018,13.72
March_2018,14.02
February_2018,21.73
January_2018,17.4
