Country,Number_of_awards
United_States,215
Brazil,107
United_Kingdom,104
France,85
Australia,63
Argentina,45
Japan,44
Germany,43
Spain,37
Sweden,34
India,27
South_Africa,27
The_Netherlands,25
New_Zealand,25
Mexico,23
United_Arab_Emirates,21
China,20
Italy,15
Singapore,15
Canada,14
Colombia,13
Peru,13
Austria,11
Russia,10
Turkey,8
Ecuador,8
Thailand,8
Guatemala,7
Belgium,7
The_Philippines,7
Hong_Kong,6
Switzerland,6
Chile,5
Uruguay,5
Denmark,5
Norway,5
Puerto_Rico,5
South_Korea,4
Czech_Republic,3
Poland,3
Vietnam,2
Costa_Rica,2
Indonesia,2
Malaysia,2
Paraguay,2
Romania,2
Pakistan,1
Portugal,1
Serbia,1
