Month,Number_of_cases
Jan_07_2021,152254
Jan_06_2021,149881
Jan_05_2021,147061
Jan_04_2021,144796
Jan_03_2021,143544
Jan_02_2021,141979
Jan_01_2021,140557
Dec_31_2020,139140
Dec_30_2020,137216
Dec_29_2020,134802
Dec_28_2020,133204
Dec_27_2020,131592
Dec_26_2020,130230
Dec_25_2020,128578
Dec_24_2020,126752
Dec_23_2020,125000
Dec_22_2020,123323
Dec_21_2020,121718
Dec_20_2020,120687
Dec_19_2020,119151
Dec_18_2020,117582
Dec_17_2020,115966
Dec_16_2020,114547
Dec_15_2020,113241
Dec_14_2020,111361
Dec_13_2020,111361
Dec_12_2020,110393
Dec_11_2020,109104
Dec_10_2020,107814
Dec_09_2020,106856
Dec_08_2020,105445
Dec_07_2020,104329
Dec_06_2020,104002
Dec_05_2020,102991
Dec_04_2020,101900
Dec_03_2020,99280
Dec_02_2020,99280
Dec_01_2020,96769
Nov_30_2020,96769
Nov_29_2020,96251
Nov_28_2020,94980
Nov_27_2020,93770
Nov_26_2020,92475
Nov_25_2020,91307
Nov_24_2020,90213
Nov_23_2020,89196
Nov_22_2020,88711
Nov_21_2020,87471
Nov_20_2020,86265
Nov_19_2020,83772
Nov_18_2020,83772
Nov_17_2020,81723
Nov_16_2020,81003
Nov_15_2020,80404
Nov_14_2020,79339
Nov_13_2020,77668
Nov_12_2020,76106
Nov_11_2020,74552
Nov_10_2020,72993
Nov_9_2020,71569
Nov_8_2020,71119
Nov_7_2020,69543
Nov_6_2020,66334
Nov_5_2020,66334
Nov_4_2020,64363
Nov_3_2020,63126
Nov_2_2020,61906
Nov_1_2020,61115
Oct_31_2020,59813
Oct_30_2020,58029
Oct_29_2020,54278
Oct_28_2020,54278
Oct_27_2020,52399
Oct_26_2020,52399
Oct_25_2020,48799
Oct_24_2020,48799
Oct_23_2020,47214
Oct_22_2020,45892
Oct_21_2020,45892
Oct_20_2020,44450
Oct_19_2020,42727
Oct_18_2020,40542
Oct_17_2020,40542
Oct_16_2020,34790
Oct_15_2020,34790
Oct_14_2020,34790
Oct_13_2020,32556
Oct_12_2020,32556
Oct_11_2020,32556
Oct_10_2020,31259
Oct_9_2020,26899
Oct_8_2020,26899
Oct_7_2020,24542
Oct_6_2020,22230
Oct_5_2020,22230
Oct_4_2020,22230
Oct_3_2020,20944
Oct_2_2020,19721
Oct_1_2020,18413
Sep_30_2020,18413
Sep_29_2020,17405
Sep_28_2020,16114
Sep_27_2020,16114
Sep_26_2020,14392
Sep_25_2020,14392
Sep_24_2020,13305
Sep_23_2020,12479
Sep_22_2020,11260
Sep_21_2020,11260
Sep_20_2020,10732
Sep_19_2020,9110
Sep_18_2020,8570
Sep_17_2020,8570
Sep_16_2020,8100
Sep_15_2020,7623
Sep_14_2020,7382
Sep_13_2020,6635
Sep_12_2020,6635
Sep_11_2020,6259
Sep_10_2020,5882
Sep_9_2020,5417
Sep_8_2020,5417
Sep_7_2020,5124
Sep_6_2020,5041
Sep_5_2020,4776
Sep_4_2020,4542
Sep_3_2020,4394
Sep_2_2020,4196
Sep_1_2020,3963
Aug_31_2020,3803
Aug_30_2020,3685
Aug_29_2020,3572
Aug_28_2020,3461
Aug_27_2020,3323
Aug_26_2020,3206
Aug_25_2020,3069
Aug_24_2020,2893
Aug_23_2020,2818
Aug_22_2020,2738
Aug_21_2020,2607
Aug_20_2020,2543
Aug_19_2020,2427
Aug_18_2020,2314
Aug_17_2020,2185
Aug_16_2020,2107
Aug_15_2020,2023
Aug_14_2020,1903
Aug_13_2020,1847
Aug_12_2020,1780
Aug_11_2020,1738
Aug_10_2020,1717
Aug_9_2020,1697
Aug_8_2020,1678
Aug_7_2020,1656
Aug_6_2020,1642
Aug_5_2020,1601
Aug_4_2020,1584
Aug_3_2020,1565
Aug_2_2020,1561
Aug_1_2020,1552
Jul_31_2020,1535
Jul_30_2020,1514
Jul_29_2020,1488
Jul_28_2020,1468
Jul_27_2020,1455
Jul_26_2020,1452
Jul_25_2020,1443
Jul_24_2020,1425
Jul_23_2020,1406
Jul_22_2020,1394
Jul_21_2020,1389
Jul_20_2020,1381
Jul_19_2020,1374
Jul_18_2020,1348
Jul_17_2020,1336
Jul_16_2020,1327
Jul_15_2020,1319
Jul_14_2020,1306
Jul_13_2020,1302
Jul_12_2020,1263
Jul_11_2020,1245
Jul_10_2020,1240
Jul_09_2020,1231
Jul_08_2020,1221
Jul_07_2020,1205
Jul_06_2020,1199
Jul_05_2020,1188
Jul_04_2020,1186
Jul_03_2020,1181
Jul_02_2020,1178
Jul_01_2020,1175
Jun_30_2020,1174
Jun_29_2020,1172
Jun_28_2020,1169
Jun_272020,1168
Jun_26_2020,1164
Jun_25_2020,1162
Jun_24_2020,1160
Jun_23_2020,1159
Jun_22_2020,1159
Jun_21_2020,1157
Jun_20_2020,1156
Jun_19_2020,1146
Jun_18_2020,1132
Jun_17_2020,1128
Jun_16_2020,1125
Jun_15_2020,1110
Jun_14_2020,1096
Jun_13_2020,1094
Jun_12_2020,1093
