Organization,Budget_authority_in_million_U.S._dollars
U.S._Customs_and_Border_Protection,18209.97
Federal_Emergency_Management_Agency,14533.08
U.S._Coast_Guard,12261.14
U.S._Immigration_and_Customs_Enforcement,10416.16
Transportation_Security_Administration,8241.79
U.S._Citizenship_and_Immigration_Services,4075.09
Management_Directorate,3350.39
Cybersecurity_and_Infrastructure_Security_Agency,1757.8
Science_and_Technology_Directorate,643.73
Countering_Weapons_of_Mass_Destruction,377.16
Federal_Law_Enforcement_Training_Centers,331.48
Analysis_and_Operations,312.64
Office_of_Inspector_General,177.78
Office_of_the_Secretary_and_Executive_Management,150.36
Domestic_Nuclear_Detection_Office,0
