business,Turnover_in_billion_DKK
E-boks_A/S,231.04
Glunz_&_Jensen_Holding_A/S,195.63
A.P._Møller_-_Mærsk_A/S,192.17
Centrica_Energy_Trading_A/S,77.83
Vestas_Manufacturing_A/S,48.19
Danske_Bank_A/S,48.15
Energi_Danmark_A/S,44.54
Lego_A/S,38.54
Coop_Danmark_A/S,35.34
Ørsted_Salg_&_Service_A/S,33.08
Siemens_Gamesa_Renewable_Energy_A/S,30.46
Lego_System_A/S,28.11
Ørsted_Wind_Power_A/S,25.25
Danish_Crown_A/S,22.08
Pandora_A/S,21.87
Equinor_Refining_Denmark_A/S,20.59
Reitan_Distribution_A/S,18.24
Lundbeck_A/S_H,17.04
Coloplast_A/S,15.53
Bestseller_A/S,13.86
