Movie,Box_office_revenue_in_million_U.S._dollars
Avengers:_Endgame,357.12
Avengers:_Infinity_War,257.7
Star_Wars:_Episode_VII_-_The_Force_Awakens,247.97
Star_Wars:_Episode_VIII_-_The_Last_Jedi,220.01
Jurassic_World,208.81
The_Avengers,207.44
Black_Panther,202.0
The_Lion_King,191.77
Avengers:_Age_of_Ultron,191.27
Incredibles_2,182.69
Captain_America:_Civil_War,179.14
Star_Wars:_Episode_IX_-_The_Rise_of_Skywalker,177.38
Beauty_and_the_Beast,174.75
Iron_Man_3,174.14
Harry_Potter_and_the_Deathly_Hallows:_Part_2,169.19
