Year,Present-day_borders,Former_borders
2020,331002.65,0
2019,329064.92,0
2018,327096.26,0
2017,325084.76,0
2016,323015.99,0
2015,320878.31,0
2014,318673.42,0
2013,316400.54,0
2012,314043.89,0
2011,311584.05,0
2010,309011.47,0
2009,306307.57,0
2008,303486.02,0
2007,300608.43,0
2006,297758.98,0
2005,294993.51,0
2004,292354.66,0
2003,289815.57,0
2002,287279.31,0
2001,284607.99,0
2000,281710.91,0
1999,278548.15,0
1998,275175.31,0
1997,271713.63,0
1996,268335.01,0
1995,265163.74,0
1994,262241.2,0
1993,259532.13,0
1992,256990.61,0
1991,254539.37,0
1990,252120.31,0
1989,249725.81,0
1988,247372.26,0
1987,245052.78,0
1986,242763.14,0
1985,240499.82,0
1984,238256.85,0
1983,236030.24,0
1982,233821.85,0
1981,231636.07,0
1980,229476.36,0
1979,227339.32,0
1978,225223.31,0
1977,223135.66,0
1976,221086.43,0
1975,219081.25,0
1974,217114.9,0
1973,215178.8,0
1972,213269.81,0
1971,211384.08,0
1970,209513.34,0
1969,207659.27,0
1968,205805.76,0
1967,203905.08,0
1966,201895.76,0
1965,199733.68,0
1964,197408.5,0
1963,194932.4,0
1962,192313.75,0
1961,189569.85,0
1960,186720.57,0
1959,183786.25,0
1958,180788.39,0
1957,177751.48,0
1956,174705.01,0
1955,171685.34,0
1954,168736.39,0
1953,165910,0
1952,163266.03,0
1951,160872.26,0
1950,158804.4,156697
1949,156000,0
1948,154000,0
1947,152000,0
1946,150000,0
1945,148000,0
1944,146000,0
1943,144000,0
1942,142000,0
1941,140000,0
1940,139000,131669
1939,137000,0
1938,136000,0
1937,135000,0
1936,134000,0
1935,133000,0
1934,132000,0
1933,131000,0
1932,131000,0
1931,129000,0
1930,128000,122775
1929,127000,0
1928,125000,0
1927,123000,0
1926,121000,0
1925,120000,0
1924,118000,0
1923,116000,0
1922,115000,0
1921,113000,0
1920,111000,105711
1919,110000,0
1918,108000,0
1917,107000,0
1916,105000,0
1915,104000,0
1914,102000,0
1913,101000,0
1912,99000,0
1911,97500,0
1910,95900,91972
1909,94200,0
1908,92400,0
1907,90600,0
1906,88800,0
1905,87000,0
1904,85300,0
1903,83600,0
1902,81900,0
1901,80300,0
1900,78800,75995
1899,77200,0
1898,75700,0
1897,74300,0
1896,72900,0
1895,71500,0
1894,70100,0
1893,68700,0
1892,67400,0
1891,66100,0
1890,64700,62948
1889,63300,0
1888,61900,0
1887,60500,0
1886,59100,0
1885,57700,0
1884,56400,0
1883,55100,0
1882,53900,0
1881,52600,0
1880,51400,50156
1879,50200,0
1878,49100,0
1877,47900,0
1876,46800,0
1875,45800,0
1874,44700,0
1873,43700,0
1872,42700,0
1871,41700,0
1870,40700,39818
1869,39800,0
1868,38800,0
1867,37900,0
1866,37000,0
1865,36100,0
1864,35300,0
1863,34400,0
1862,33600,0
1861,32800,0
1860,31900,31433
1859,31100,0
1858,30200,0
1857,29200,0
1856,28400,0
1855,27500,0
1854,26700,0
1853,25900,0
1852,25100,0
1851,24300,0
1850,23600,23192
1849,22900,0
1848,22200,0
1847,21600,0
1846,20900,0
1845,20300,0
1844,19700,0
1843,19100,0
1842,18500,0
1841,18000,0
1840,17500,17069
1839,17000,0
1838,16500,0
1837,16100,0
1836,15600,0
1835,15200,0
1834,14800,0
1833,14400,0
1832,14000,0
1831,13600,0
1830,13200,12866
1829,12900,0
1828,12500,0
1827,12200,0
1826,11800,0
1825,11500,0
1824,11200,0
1823,10900,0
1822,10600,0
1821,10300,0
1820,9970,8638
1819,9670,0
1818,9370,0
1817,9070,0
1816,8790,0
1815,8510,0
1814,8240,0
1813,7980,0
1812,7730,0
1811,7500,0
1810,7300,7240
1809,7110,0
1808,6970,0
1807,6840,0
1806,6720,0
1805,6590,0
1804,6470,0
1803,6350,0
1802,6230,0
1801,6110,0
1800,6000,5308
...,0,0
1790,0,3929
1780,0,2780
1770,0,2148
1760,0,1594
1750,0,1171
1740,0,906
1730,0,629
1720,0,466
1710,0,332
1700,0,251
1690,0,210
1680,0,152
1670,0,112
1660,0,75
1650,0,50
1640,0,27
1630,0,4.6
1620,0,2.2
1610,0,0.35
