cultural_sites_in_Paris,"Number_of_visitors_in_1,000s"
Notre-Dame_de_Paris,12000
Basilique_du_Sacré-Coeur_de_Montmartre,10000
Louvre_Museum,8022
Eiffel_Tower,6207
Centre_Pompidou,3337
Orsay_Museum,3178
Science_and_Industry_Museum,2439
Chapelle_Notre-Dame_de_la_médaille_miraculeuse,2000
National_Museum_of_Natural_History_-_Jardin_des_Plantes,1763
Arc_de_Triomphe,1583
Grand_Palais,1412
Louis_Vuitton_Foundation,1402
The_Army_Museum,1177
Quai_Branly_Museum_-_Jacques_Chirac,1174
Petit_Palais,1171
Sainte-Chapelle,1051
Musée_de_l'Orangerie,938
Musée_des_Arts_Décoratifs,870
Montparnasse56,831
Pantheon,720
Opéra_de_Paris_-_Palais_Garnier,667
Paris_Zoological_Park,660
Palais_de_Tokyo,635
Grévin_Museum,626
Picasso_Museum,612
Paris_Catacombs,538
City_of_Paris_Museum_of_Modern_Art,506
Tours_of_Notre-Dame,432
Palais_de_la_Porte_Dorée,420
Palais_de_la_Découverte,418
Conciergerie,387
Cinémathèque,380
Jacquemart-André_Museum,320
Luxembourg_Museum,298
Cluny_Museum,245
Crypt_of_Notre-Dame,171
House_of_Victor_Hugo,166
Jeu_de_Paume,155
Galliera_Museum,140
Cité_de_l'architecture_et_du_patrimoine,132
St._Denis_Basilic,126
Musée_de_l'Homme,122
Château_of_Vincennes,119
Museum_of_Hunting_and_Nature,119
Musée_Bourdelle,117
Musée_d’Art_et_d’Histoire_du_Judaïsme,99
Musée_de_la_Vie_romantique,97
Cognacq-Jay_Museum,78
Delacroix_Museum,76
Yves_Saint-Laurent_Museum_(inaugurated_on_October_3_2017),74
Cernuschi_Museum,53
Nissim_Museum_of_Camondo,50
Zadkine_Museum,31
Musée_de_la_marine,28
Maison_de_Balzac,27
Chapelle_expiatoire,24
Le_Corbusier_Foundation,16
M._du_G._Leclerc_de_H._-_Jean_Moulin_Museum,14
Musée_d'Histoire_de_la_Médecine_-_U._Paris_Descartes,9
Carnavalet_Museum,8
Polish_Library_in_Paris,4
Maison_d'Auguste_Comte,3
