Year,Number_of_recoveries
18_May,150376
17_May,149576
16_May,146446
15_May,144783
14_May,143374
13_May,140823
12_May,138930
11_May,137139
10_May,136166
9_May,133952
8_May,131148
7_May,128511
6_May,126002
5_May,123486
4_May,121343
3_May,118902
2_May,117248
1_May,114897
30_Apr,112050
29_Apr,108947
28_Apr,102548
27_Apr,100875
26_Apr,98732
25_Apr,95708
24_Apr,92355
23_Apr,89250
22_Apr,85915
21_Apr,82514
20_Apr,80587
19_Apr,77357
18_Apr,74662
17_Apr,72963
16_Apr,74797
15_Apr,70853
14_Apr,67504
13_Apr,64727
12_Apr,62391
11_Apr,59109
10_Apr,55668
9_Apr,52165
8_Apr,48021
7_Apr,43208
6_Apr,40437
5_Apr,38080
4_Apr,34219
3_Apr,30513
2_Apr,26743
1_Apr,22647
31_Mar,19259
30_Mar,16780
29_Mar,14709
28_Mar,12285
27_Mar,9357
26_Mar,7015
25_Mar,5367
24_Mar,3794
23_Mar,3355
22_Mar,2575
21_Mar,2125
20_Mar,1588
19_Mar,1107
18_Mar,1081
17_Mar,1028
16_Mar,530
15_Mar,517
14_Mar,517
13_Mar,193
12_Mar,189
11_Mar,183
10_Mar,135
9_Mar,23
