Month,EUR/GBP_exchange_rate
Oct_2020,0.91
Sep_2020,0.91
Aug_2020,0.9
Jul_2020,0.9
Jun_2020,0.9
May_2020,0.89
Apr_2020,0.88
Mar_2020,0.89
Feb_2020,0.84
Jan_2020,0.85
Dec_2019,0.85
Nov_2019,0.86
Oct_2019,0.88
Sep_2019,0.89
Aug_2019,0.92
Jul_2019,0.9
Jun_2019,0.89
May_2019,0.87
Apr_2019,0.86
Mar_2019,0.86
Feb_2019,0.87
Jan_2019,0.89
Dec_2018,0.9
Nov_2018,0.88
Oct_2018,0.88
Sep_2018,0.89
Aug_2018,0.9
Jul_2018,0.89
Jun_2018,0.88
May_2018,0.88
Apr_2018,0.87
Mar_2018,0.88
Feb_2018,0.88
Jan_2018,0.88
Dec_2017,0.88
Nov_2017,0.89
Oct_2017,0.89
Sep_2017,0.89
Aug_2017,0.91
Jul_2017,0.89
Jun_2017,0.88
May_2017,0.86
Apr_2017,0.85
Mar_2017,0.87
Feb_2017,0.85
Jan_2017,0.86
Dec_2016,0.84
Nov_2016,0.87
Oct_2016,0.89
Sep_2016,0.85
Aug_2016,0.86
Jul_2016,0.84
Jun_2016,0.79
May_2016,0.78
Apr_2016,0.79
Mar_2016,0.78
Feb_2016,0.78
Jan_2016,0.75
Dec_2015,0.73
Nov_2015,0.71
Oct_2015,0.73
Sep_2015,0.73
Aug_2015,0.71
Jul_2015,0.71
Jun_2015,0.72
May_2015,0.72
Apr_2015,0.72
Mar_2015,0.72
Feb_2015,0.74
Jan_2015,0.77
Dec_2014,0.79
Nov_2014,0.79
Oct_2014,0.79
Sep_2014,0.79
Aug_2014,0.8
Jul_2014,0.79
Jun_2014,0.8
May_2014,0.82
Apr_2014,0.83
Mar_2014,0.83
Feb_2014,0.83
Jan_2014,0.83
Dec_2013,0.84
Nov_2013,0.84
Oct_2013,0.85
Sep_2013,0.84
Aug_2013,0.86
Jul_2013,0.86
Jun_2013,0.85
May_2013,0.85
Apr_2013,0.85
Mar_2013,0.86
Feb_2013,0.86
Jan_2013,0.83
Dec_2012,0.81
Nov_2012,0.8
Oct_2012,0.81
Sep_2012,0.8
Aug_2012,0.79
Jul_2012,0.79
Jun_2012,0.81
May_2012,0.8
Apr_2012,0.82
Mar_2012,0.83
Feb_2012,0.84
Jan_2012,0.83
Dec_2011,0.84
Nov_2011,0.86
Oct_2011,0.87
Sep_2011,0.87
Aug_2011,0.88
Jul_2011,0.88
Jun_2011,0.89
May_2011,0.88
Apr_2011,0.88
Mar_2011,0.87
Feb_2011,0.85
Jan_2011,0.85
Dec_2010,0.85
Nov_2010,0.86
Oct_2010,0.88
Sep_2010,0.84
Aug_2010,0.82
Jul_2010,0.84
Jun_2010,0.83
May_2010,0.86
Apr_2010,0.87
Mar_2010,0.9
Feb_2010,0.88
Jan_2010,0.88
Dec_2009,0.9
Nov_2009,0.9
Oct_2009,0.92
Sep_2009,0.89
Aug_2009,0.86
Jul_2009,0.86
Jun_2009,0.86
May_2009,0.88
Apr_2009,0.9
Mar_2009,0.92
Feb_2009,0.89
Jan_2009,0.92
Dec_2008,0.9
Nov_2008,0.83
Oct_2008,0.79
Sep_2008,0.8
Aug_2008,0.79
Jul_2008,0.79
Jun_2008,0.79
May_2008,0.79
Apr_2008,0.79
Mar_2008,0.77
Feb_2008,0.75
Jan_2008,0.75
Dec_2007,0.72
Nov_2007,0.71
Oct_2007,0.7
Sep_2007,0.69
Aug_2007,0.68
Jul_2007,0.67
Jun_2007,0.68
May_2007,0.68
Apr_2007,0.68
Mar_2007,0.68
Feb_2007,0.67
Jan_2007,0.66
Dec_2006,0.67
