U.S._Soccer_employees,Salary_in_U.S._dollars
Jürgen_Klinsmann_(ex-USMNT_coach),3354167
Bruce_Arena_(ex-USMNT_coach),1274957
Dan_Flynn_(chief_executive_officer),836517
Jay_Berhalter_(chief_operating_officer),609271
Andreas_Herzog_(ex-USMNT_assistant_coach),363534
Tom_King_(managing_director_administration),352235
Tab_Ramos_(U-20_USMNT_coach_youth_technical_director),345297
George_Chiampas_(chief_medical_officer),342600
Brian_Remedi_(chief_administrative_officer),338845
Jill_Ellis_(USWNT_coach),318533
