Month,Rent_in_U.S._dollars
Feb_20,1468
Jan_20,1463
Dec_19,1474
Nov_19,1475
Oct_19,1476
Sep_19,1471
Aug_19,1472
Jul_19,1470
Jun_19,1466
May_19,1457
Apr_19,1449
Mar_19,1440
Feb_19,1431
Jan_19,1430
Dec_18,1429
Nov_18,1428
Oct_18,1427
Sep_18,1426
Aug_18,1424
Jul_18,1421
Jun_18,1418
May_18,1409
Apr_18,1401
Mar_18,1392
Feb_18,1383
Jan_18,1382
Dec_17,1381
Nov_17,1380
Oct_17,1380
Sep_17,1380
Aug_17,1380
Jul_17,1379
Jun_17,1378
May_17,1370
Apr_17,1362
Mar_17,1354
Feb_17,1346
Jan_17,1347
Dec_16,1347
Nov_16,1348
Oct_16,1350
Sep_16,1348
