Month,House_price_index_in_index_points
Oct_'20,128.73
Sep_'20,127.79
Aug_'20,125.92
Jul_'20,124.52
Jun_'20,123.27
May_'20,121.26
Apr_'20,120.75
Mar_'20,122.29
Feb_'20,121.04
Jan_'20,121.74
Dec_'19,121.61
Nov_'19,122.31
Oct_'19,122.6
Sep_'19,122.46
Jul_'19,122.08
Jun_'19,120.73
May_'19,120.23
Apr_'19,120.0
Mar_'19,119.11
Feb_'19,119.44
Jan_'19,119.75
Dec_'18,120.49
Nov_'18,120.75
Oct_'18,121.27
Sep_'18,121.39
Aug_'18,121.63
Jul_'18,121.25
Jun_'18,119.77
May_'18,118.97
Apr_'18,118.49
Mar_'18,117.36
Feb_'18,118.08
Jan_'18,117.77
Dec_'17,118.18
Nov_'17,117.72
Oct_'17,118.06
Sep_'17,117.95
Aug_'17,118.4
Jul_'17,117.86
Jun_'17,116.35
May_'17,115.36
Apr_'17,114.67
Mar_'17,112.89
Feb_'17,113.13
Jan_'17,112.89
Dec_'16,113.03
Nov_'16,112.82
Oct_'16,112.29
Sep_'16,112.67
Aug_'16,112.84
Jul_'16,112.83
Jun_'16,111.65
May_'16,110.6
Apr_'16,109.32
Mar_'16,108.92
Feb_'16,107.81
Jan_'16,107.76
Dec_'15,107.48
Nov_'15,107.11
Oct_'15,106.29
Sep_'15,106.15
Aug_'15,105.93
Jul_'15,104.97
Jun_'15,103.22
May_'15,102.44
Apr_'15,101.34
Mar_'15,100.46
Feb_'15,100.09
Jan_'15,100.0
