Month,Units_sold
Dec_20,7480
Nov_20,7822
Oct_20,10888
Sep_20,23522
Aug_20,5234
Jul_20,10254
Jun_20,9569
May_20,2002
Apr_20,256
Mar_20,16981
Feb_20,5745
Jan_20,11130
Dec_19,9623
Nov_19,10397
Oct_19,11319
Sep_19,30398
Aug_19,5040
Jul_19,12056
Jun_19,14947
May_19,14431
Apr_19,11739
Mar_19,33536
Feb_19,6088
Jan_19,12249
Dec_18,11365
Nov_18,11391
Oct_18,11716
Sep_18,30161
Aug_18,4868
Jul_18,11395
Jun_18,14928
May_18,13387
Apr_18,11854
Mar_18,33194
Feb_18,6088
Jan_18,11891
Dec_17,10427
Nov_17,12065
Oct_17,12136
Sep_17,31430
Aug_17,4738
Jul_17,11617
Jun_17,15715
May_17,14660
Apr_17,13345
Mar_17,35690
Feb_17,6099
Jan_17,13048
