Metropolitan_Area,Percent_change_form_preceding_period
Midland_TX,21.9
San_Jose-Sunnyvale-Santa_Clara_CA,10.1
Seattle-Tacoma-Bellevue_WA,6.9
Las_Vegas-Henderson-Paradise_NV,6.1
Raleigh-Cary_NC,5.9
Austin-Round_Rock-Gerogetown_TX,5.6
San_Francisco-Oakland-Berkeley_CA,5.1
Boise_City_ID,4.8
San_Antonio-New_Braunfels_TX,4.6
Phoenix-Mesa-Chandler_AZ,4.5
Portland-Vancouver-Hillsboro_OR-WA,4.4
Stockton_CA,4.4
Fresno_CA,4.4
North_Port-Sarasota-Bradenton_FL,4.3
Nashville-Davidson-Murfreesboro-Franklin_TN,4.2
Santa_Rosa-Petaluma_CA,4.2
Orlando-Kissimmee-Sanford_FL,4.1
San_Diego-Chula_Vista-Carlsbad_CA,4.1
Baton_Rouge_LA,4.1
Dallas-Fort_Worth-Arlington_TX,3.9
Santa_Maria-Santa_Barbara_CA,3.7
Denver-Aurora-Lakewood_CO,3.7
Charleston-North_Charleston_SC,3.6
Tampa-St._Petersburg-Clearwater_FL,3.6
Tucson_AZ,3.6
Sacramento-Roseville-Folsom_CA,3.5
Grand_Rapids-Kentwood_MI,3.5
Boston-Cambridge-Newton_MA-NH,3.4
Salt_Lake_City_UT,3.4
Durham-Chapel_Hill_NC,3.4
Greenville-Anderson_SC,3.3
Wichita_KS,3.3
Riverside-San_Bernardino-Ontario_CA,3.3
Cape_Coral-Fort_Myers_FL,3.2
Colorado_Springs_CO,3.2
El_Paso_TX,3.2
Birmingham-Hoover_AL,3.2
Los_Angeles-Long_Beach-Anaheim_CA,3.1
Tulsa_OK,3.1
Oklahoma_City_OK,3.1
Pittsburgh_PA,3
Houston-The_Woodlands-Sugar_Land_TX,3
St._Louis_MO-IL,3
Jacksonville_FL,2.9
Miami-Fort_Lauderdale-Pompano_Beach_FL,2.9
Knoxville_TN,2.8
Washington-Arlington-Alexandria_DC-VA-MD-WV,2.7
Minneapolis-St.Paul-Bloomington_MN-WI,2.6
Baltimore--Columbia-Towson_MD,2.6
Portland-South_Portland_ME,2.6
Lancaster_PA,2.6
Chattanooga_TN-GA,2.6
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,2.5
Harrisburg-Carlisle_PA,2.5
Atlanta-Sandy_Springs-Alpharetta_GA,2.5
Toledo_OH,2.4
Allentown-Bethlehem-Easton_PA-NJ,2.4
Scranton--Wilkes-Barre_PA,2.3
Memphis_TN-MS-AR,2.3
Madison_WI,2.3
Detroit-Warren-Dearborn_MI,2.3
Trenton-Princeton_NJ,2.3
Milwaukee-Waukesha_WI,2.3
Virginia_Beach-Norfolk-Newport_News_VA-NC,2.2
New_Orleans-Metairie_LA,2.2
Worcester_MA-CT,2.2
Charlotte-Concord-Gastonia_NC-SC,2.1
Indianapolis-Carmel-Anderson_IN,2.1
Albuquerque_NM,2.1
Little_Rock-North_Little_Rock-Conway_AR,2.1
Kansas_City_MO-KS,2
Urban_Honolulu_HI,2
Cleveland-Elyria_OH,1.9
Columbus_OH,1.9
Chicago-Naperville-Elgin_IL-IN-WI,1.9
Richmond_VA,1.9
Dayton-Kettering_OH,1.9
Poughkeepsie-Newburgh-Middletown_NY,1.8
Des_Moines-West_Des_Moines_IA,1.8
Cincinnati_OH-KY-IN,1.7
Louisville/Jefferson_County_KY-IN,1.7
Akron_OH,1.7
New_Haven-Milford_CT,1.7
New_York-Newark-Jersey_City_NY-NJ-PA,1.6
Springfield_MA,1.5
Greensboro-High_Point_NC,1.5
Oxnard-Thousand_Oaks-Ventura_CA,1.3
Providence-Warwick_RI-MA,1.2
Columbia_SC,1.1
Lexington-Fayette_KY,1
Omaha-Council_Bluffs_NE-IA,1
Buffalo-Cheektowaga_NY,1
Syracuse_NY,0.8
Beaumont-Port_Arthur_TX,0.6
Albany-Schenectady-Troy_NY,0.5
Rochester_NY,0.4
Bridgeport-Stamford-Norwalk_CT,0.4
Winston-Salem_NC,0.1
Hartford-East_Hartford-Middletown_CT,-0.4
Bakersfield_CA,-0.7
