military_personnel,2019,2020,2021
General_(O10),12,14,14
Lieutenant_General_(O9),42,43,45
Major_General_(O8),89,95,101
Brigadier_General_(O7),144,150,157
Colonel_(O6),3336,3550,3750
Lieutenant_Colonel_(O5),9777,10017,10175
Major_(O4),14040,14017,14006
Captain_(O3),20666,20790,20878
1st_Lieutenant_(O2),7721,7961,7864
2nd_Lieutenant_(O1),8075,7775,7650
Chief_Master_Sergeant_(E9),2613,2670,2720
Senior_Master_Sergeant_(E8),5379,5485,5560
Master_Sergeant_(E7),26491,26693,26746
Technical_Sergeant_(E6),39695,39600,39442
Staff_Sergeant_(E5),61544,61531,61648
Senior_Airman_(E4),54550,57113,56527
Airman_First_Class_(E3),55166,49140,48336
Airman_(E2),7568,14054,15106
Airman_Basic_(E1),10970,9124,8975
Total_Officer_Personnel,63902,64412,64640
Total_Enlisted,263976,265410,265060
Cadets,4223,4000,4000
Total_End_Strength,332101,333822,333700
