Response,Share_of_respondents
Clothes_(including_sports_clothing)_shoes_and_accessories,55
Deliveries_from_restaurants_fast-food_chains_or_catering_services,32
Printed_books_magazines_or_newspapers,29
Furniture_home_accessories_or_gardening_products,28
Computers_tablets_mobile_phones_or_accessories,24
Children's_toys_or_childcare_items,22
Cosmetics_beauty_or_wellness_products,22
Cleaning_products_or_personal_hygiene_products,18
Consumer_electronics_for_example_TVs_stereos_cameras_or_household_appliances,18
Sports_goods_(excluding_sports_clothing),17
Food_or_beverages_from_stores_or_from_meal-kit_providers,13
Medicine_or_dietary_supplements_such_as_vitamins,13
Physical_copies_of_films_or_series,13
Physical_copies_of_music,12
Bicycles_mopeds_cars_or_other_vehicles_or_their_spare_parts,8
