Clubs_with_most_games_played_in_the_UEFA_Europa_League,Games_played
PC_Intemazionale_Milano,187
Sporting_Clube_de_Portugal,185
Club_Brugge,180
Sevilla_FC,141
Tottenham_Hotspur,140
PSV_Eindhoven,155
RSC_Anderlecht,154
AFC_Ajax,143
Juventus,120
FC_Girondins_de_Bordeaux,142
Valencia_CF,133
Liverpool_FC,124
SS_Lazio,137
AZ_Alkmaar,136
AS_Rama,130
VfB_Stuttgart,132
SL_Benfica,128
Club_Atletieo_de_Madrid,117
Hamburger_SV,124
Athletic_Club,136
FCSB,142
Feyenoord,139
FK_Crvena_zvezdo,140
PAOK_FC,142
Villarreal_CF,112
