Quarter,Operating_profit_in_trillion_South_Korean_won
Q4_'19,7.16
Q3_'19,7.78
Q2_'19,6.6
Q1_'19,6.23
Q4_'18,10.8
Q3_'18,17.57
Q2_'18,14.87
Q1_'18,15.64
Q4_'17,15.15
Q3_'17,14.53
Q2_'17,14.07
Q1_'17,9.9
Q4_'16,9.22
Q3_'16,5.2
Q2_'16,8.14
Q1_'16,6.68
Q4_'15,6.14
Q3_'15,7.39
Q2_'15,6.9
Q1_'15,5.98
Q4_'14,5.29
Q3_'14,4.06
Q2_'14,7.2
Q1_'14,8.5
Q4_'13,8.3
Q3_'13,10.2
Q2_'13,9.5
Q1_'13,8.8
Q4_'12,8.8
Q3_'12,8.1
Q2_'12,6.5
Q1_'12,5.7
Q4_'11,4.7
Q3_'11,4.3
Q2_'11,3.8
Q1_'11,2.8
Q4_'10,3.0
Q3_'10,4.9
Q2_'10,5.0
Q1_'10,4.4
Q4_'09,3.4
Q3_'09,4.2
Q2_'09,2.7
Q1_'09,0.6
