Cricket_player,Number_of_runs_scored
BC_Lara__(West_Indies_vs_England_-_2004),400
ML_Hayden__(Australia_vs_Zimbabwe_-_2003),380
BC_Lara_(West_Indies_vs_England_-_1994),375
DPMD_Jayawardene__(Sri_Lanka_vs_South_Africa_-_2006),374
GS_Sobers__(West_Indies_vs_Pakistan_-_1958),365
L_Hutton__(England_vs_Australia_-_1938),364
ST_Jayasuriya__(Sri_Lanka_vs_India_-_1997),340
Hanif_Mohammad__(Pakistan_vs_West_Indies_-_1958),337
WR_Hammond_(England_vs_New_Zealand_-_1933),336
DA_Warner_(Australia_vs_Pakistan_-_2019),335
