type_of_sport,"Number_of_participants_in_1,000"
Any_activity,17002
Leisure_time_at_the_beach,10084
Coastal_walking,7682
Outdoor_swimming,6125
Any_boating_activity,3931
Canoeing,1779
Surfing/bodyboarding/paddleboarding,1379
Angling,1076
Sea_angling,758
Paddle_boarding,614
Motor_boating/cruising,583
Body_boarding,551
Cliff_climbing,483
Canal_boating,450
Freshwater_angling,440
Power_boating,386
Rowing/sculling,373
Yacht_cruising,370
Leisure_subaqua_diving,365
Coasteering,298
Water_skiing_&_wakeboarding,297
Using_personal_watercraft,254
Small_sail_boat_racing,217
Small_sail_boat_activities,514
Recreation_sea_fishing,172
Windsurfing,123
Yacht_racing,92
Kitesurfing,59
